Date,Fear_Greed_Index,Sentiment
1998-01-20 00:00:00-05:00,49.01,Neutral
1998-01-21 00:00:00-05:00,52.0,Neutral
1998-01-22 00:00:00-05:00,55.15,Greed
1998-01-23 00:00:00-05:00,51.39,Neutral
1998-01-26 00:00:00-05:00,45.05,Neutral
1998-01-27 00:00:00-05:00,49.93,Neutral
1998-01-28 00:00:00-05:00,41.35,Fear
1998-01-29 00:00:00-05:00,61.37,Greed
1998-01-30 00:00:00-05:00,44.83,Fear
1998-02-02 00:00:00-05:00,45.59,Neutral
1998-02-03 00:00:00-05:00,51.57,Neutral
1998-02-04 00:00:00-05:00,52.07,Neutral
1998-02-05 00:00:00-05:00,46.48,Neutral
1998-02-06 00:00:00-05:00,100.0,Extreme Greed
1998-02-09 00:00:00-05:00,89.95,Extreme Greed
1998-02-10 00:00:00-05:00,98.53,Extreme Greed
1998-02-11 00:00:00-05:00,100.0,Extreme Greed
1998-02-12 00:00:00-05:00,100.0,Extreme Greed
1998-02-13 00:00:00-05:00,100.0,Extreme Greed
1998-02-17 00:00:00-05:00,100.0,Extreme Greed
1998-02-18 00:00:00-05:00,100.0,Extreme Greed
1998-02-19 00:00:00-05:00,94.27,Extreme Greed
1998-02-20 00:00:00-05:00,100.0,Extreme Greed
1998-02-23 00:00:00-05:00,96.87,Extreme Greed
1998-02-24 00:00:00-05:00,100.0,Extreme Greed
1998-02-25 00:00:00-05:00,100.0,Extreme Greed
1998-02-26 00:00:00-05:00,98.79,Extreme Greed
1998-02-27 00:00:00-05:00,99.62,Extreme Greed
1998-03-02 00:00:00-05:00,100.0,Extreme Greed
1998-03-03 00:00:00-05:00,100.0,Extreme Greed
1998-03-04 00:00:00-05:00,100.0,Extreme Greed
1998-03-05 00:00:00-05:00,99.86,Extreme Greed
1998-03-06 00:00:00-05:00,96.09,Extreme Greed
1998-03-09 00:00:00-05:00,97.14,Extreme Greed
1998-03-10 00:00:00-05:00,100.0,Extreme Greed
1998-03-11 00:00:00-05:00,98.75,Extreme Greed
1998-03-12 00:00:00-05:00,100.0,Extreme Greed
1998-03-13 00:00:00-05:00,100.0,Extreme Greed
1998-03-16 00:00:00-05:00,100.0,Extreme Greed
1998-03-17 00:00:00-05:00,90.81,Extreme Greed
1998-03-18 00:00:00-05:00,98.95,Extreme Greed
1998-03-19 00:00:00-05:00,100.0,Extreme Greed
1998-03-20 00:00:00-05:00,92.76,Extreme Greed
1998-03-23 00:00:00-05:00,96.67,Extreme Greed
1998-03-24 00:00:00-05:00,97.16,Extreme Greed
1998-03-25 00:00:00-05:00,89.53,Extreme Greed
1998-03-26 00:00:00-05:00,100.0,Extreme Greed
1998-03-27 00:00:00-05:00,100.0,Extreme Greed
1998-03-30 00:00:00-05:00,92.75,Extreme Greed
1998-03-31 00:00:00-05:00,98.28,Extreme Greed
1998-04-01 00:00:00-05:00,97.36,Extreme Greed
1998-04-02 00:00:00-05:00,100.0,Extreme Greed
1998-04-03 00:00:00-05:00,100.0,Extreme Greed
1998-04-06 00:00:00-04:00,93.52,Extreme Greed
1998-04-07 00:00:00-04:00,100.0,Extreme Greed
1998-04-08 00:00:00-04:00,93.37,Extreme Greed
1998-04-09 00:00:00-04:00,100.0,Extreme Greed
1998-04-13 00:00:00-04:00,95.49,Extreme Greed
1998-04-14 00:00:00-04:00,97.23,Extreme Greed
1998-04-15 00:00:00-04:00,95.36,Extreme Greed
1998-04-16 00:00:00-04:00,88.53,Extreme Greed
1998-04-17 00:00:00-04:00,93.63,Extreme Greed
1998-04-20 00:00:00-04:00,92.07,Extreme Greed
1998-04-21 00:00:00-04:00,96.08,Extreme Greed
1998-04-22 00:00:00-04:00,95.88,Extreme Greed
1998-04-23 00:00:00-04:00,85.42,Extreme Greed
1998-04-24 00:00:00-04:00,79.76,Extreme Greed
1998-04-27 00:00:00-04:00,92.86,Extreme Greed
1998-04-28 00:00:00-04:00,82.28,Extreme Greed
1998-04-29 00:00:00-04:00,75.59,Extreme Greed
1998-04-30 00:00:00-04:00,78.53,Extreme Greed
1998-05-01 00:00:00-04:00,79.14,Extreme Greed
1998-05-04 00:00:00-04:00,82.39,Extreme Greed
1998-05-05 00:00:00-04:00,74.66,Greed
1998-05-06 00:00:00-04:00,81.7,Extreme Greed
1998-05-07 00:00:00-04:00,75.43,Extreme Greed
1998-05-08 00:00:00-04:00,74.55,Greed
1998-05-11 00:00:00-04:00,68.24,Greed
1998-05-12 00:00:00-04:00,69.67,Greed
1998-05-13 00:00:00-04:00,80.57,Extreme Greed
1998-05-14 00:00:00-04:00,74.03,Greed
1998-05-15 00:00:00-04:00,74.13,Greed
1998-05-18 00:00:00-04:00,69.2,Greed
1998-05-19 00:00:00-04:00,74.95,Greed
1998-05-20 00:00:00-04:00,73.83,Greed
1998-05-21 00:00:00-04:00,78.79,Extreme Greed
1998-05-22 00:00:00-04:00,71.07,Greed
1998-05-26 00:00:00-04:00,78.25,Extreme Greed
1998-05-27 00:00:00-04:00,59.56,Greed
1998-05-28 00:00:00-04:00,73.29,Greed
1998-05-29 00:00:00-04:00,69.95,Greed
1998-06-01 00:00:00-04:00,74.78,Greed
1998-06-02 00:00:00-04:00,75.37,Extreme Greed
1998-06-03 00:00:00-04:00,68.45,Greed
1998-06-04 00:00:00-04:00,63.83,Greed
1998-06-05 00:00:00-04:00,72.92,Greed
1998-06-08 00:00:00-04:00,75.74,Extreme Greed
1998-06-09 00:00:00-04:00,72.09,Greed
1998-06-10 00:00:00-04:00,83.35,Extreme Greed
1998-06-11 00:00:00-04:00,79.69,Extreme Greed
1998-06-12 00:00:00-04:00,77.03,Extreme Greed
1998-06-15 00:00:00-04:00,70.29,Greed
1998-06-16 00:00:00-04:00,71.96,Greed
1998-06-17 00:00:00-04:00,71.64,Greed
1998-06-18 00:00:00-04:00,73.07,Greed
1998-06-19 00:00:00-04:00,67.64,Greed
1998-06-22 00:00:00-04:00,74.99,Greed
1998-06-23 00:00:00-04:00,70.65,Greed
1998-06-24 00:00:00-04:00,75.96,Extreme Greed
1998-06-25 00:00:00-04:00,76.42,Extreme Greed
1998-06-26 00:00:00-04:00,76.0,Extreme Greed
1998-06-29 00:00:00-04:00,88.85,Extreme Greed
1998-06-30 00:00:00-04:00,84.06,Extreme Greed
1998-07-01 00:00:00-04:00,84.87,Extreme Greed
1998-07-02 00:00:00-04:00,78.82,Extreme Greed
1998-07-06 00:00:00-04:00,93.11,Extreme Greed
1998-07-07 00:00:00-04:00,92.86,Extreme Greed
1998-07-08 00:00:00-04:00,91.5,Extreme Greed
1998-07-09 00:00:00-04:00,80.64,Extreme Greed
1998-07-10 00:00:00-04:00,87.51,Extreme Greed
1998-07-13 00:00:00-04:00,75.77,Extreme Greed
