Date,Fear_Greed_Index,Sentiment
1992-01-02 00:00:00-05:00,50.18,Neutral
1992-01-03 00:00:00-05:00,46.2,Neutral
1992-01-06 00:00:00-05:00,52.41,Neutral
1992-01-07 00:00:00-05:00,49.56,Neutral
1992-01-08 00:00:00-05:00,48.14,Neutral
1992-01-09 00:00:00-05:00,44.33,Fear
1992-01-10 00:00:00-05:00,54.97,Neutral
1992-01-13 00:00:00-05:00,49.91,Neutral
1992-01-14 00:00:00-05:00,49.52,Neutral
1992-01-15 00:00:00-05:00,51.06,Neutral
1992-01-16 00:00:00-05:00,42.68,Fear
1992-01-17 00:00:00-05:00,41.8,Fear
1992-01-20 00:00:00-05:00,48.62,Neutral
1992-01-21 00:00:00-05:00,83.38,Extreme Greed
1992-01-22 00:00:00-05:00,83.6,Extreme Greed
1992-01-23 00:00:00-05:00,78.94,Extreme Greed
1992-01-24 00:00:00-05:00,80.74,Extreme Greed
1992-01-27 00:00:00-05:00,90.03,Extreme Greed
1992-01-28 00:00:00-05:00,81.54,Extreme Greed
1992-01-29 00:00:00-05:00,82.88,Extreme Greed
1992-01-30 00:00:00-05:00,77.25,Extreme Greed
1992-01-31 00:00:00-05:00,74.21,Greed
1992-02-03 00:00:00-05:00,87.11,Extreme Greed
1992-02-04 00:00:00-05:00,84.77,Extreme Greed
1992-02-05 00:00:00-05:00,77.38,Extreme Greed
1992-02-06 00:00:00-05:00,77.66,Extreme Greed
1992-02-07 00:00:00-05:00,76.74,Extreme Greed
1992-02-10 00:00:00-05:00,88.07,Extreme Greed
1992-02-11 00:00:00-05:00,71.77,Greed
1992-02-12 00:00:00-05:00,81.01,Extreme Greed
1992-02-13 00:00:00-05:00,80.27,Extreme Greed
1992-02-14 00:00:00-05:00,80.01,Extreme Greed
1992-02-18 00:00:00-05:00,79.52,Extreme Greed
1992-02-19 00:00:00-05:00,92.58,Extreme Greed
1992-02-20 00:00:00-05:00,74.49,Greed
1992-02-21 00:00:00-05:00,81.78,Extreme Greed
1992-02-24 00:00:00-05:00,72.43,Greed
1992-02-25 00:00:00-05:00,77.41,Extreme Greed
1992-02-26 00:00:00-05:00,81.99,Extreme Greed
1992-02-27 00:00:00-05:00,69.64,Greed
1992-02-28 00:00:00-05:00,83.27,Extreme Greed
1992-03-02 00:00:00-05:00,76.86,Extreme Greed
1992-03-03 00:00:00-05:00,73.52,Greed
1992-03-04 00:00:00-05:00,76.26,Extreme Greed
1992-03-05 00:00:00-05:00,78.54,Extreme Greed
1992-03-06 00:00:00-05:00,69.93,Greed
1992-03-09 00:00:00-05:00,70.18,Greed
1992-03-10 00:00:00-05:00,63.66,Greed
1992-03-11 00:00:00-05:00,70.2,Greed
1992-03-12 00:00:00-05:00,72.76,Greed
1992-03-13 00:00:00-05:00,66.38,Greed
1992-03-16 00:00:00-05:00,77.41,Extreme Greed
1992-03-17 00:00:00-05:00,61.72,Greed
1992-03-18 00:00:00-05:00,72.0,Greed
1992-03-19 00:00:00-05:00,71.95,Greed
1992-03-20 00:00:00-05:00,72.37,Greed
1992-03-23 00:00:00-05:00,72.52,Greed
1992-03-24 00:00:00-05:00,81.51,Extreme Greed
1992-03-25 00:00:00-05:00,80.93,Extreme Greed
1992-03-26 00:00:00-05:00,68.77,Greed
1992-03-27 00:00:00-05:00,84.77,Extreme Greed
1992-03-30 00:00:00-05:00,75.62,Extreme Greed
1992-03-31 00:00:00-05:00,77.37,Extreme Greed
1992-04-01 00:00:00-05:00,82.67,Extreme Greed
1992-04-02 00:00:00-05:00,70.52,Greed
1992-04-03 00:00:00-05:00,85.45,Extreme Greed
1992-04-06 00:00:00-04:00,78.02,Extreme Greed
1992-04-07 00:00:00-04:00,80.49,Extreme Greed
