Date,Fear_Greed_Index,Sentiment
2003-04-14 00:00:00-04:00,43.08,Fear
2003-04-15 00:00:00-04:00,48.41,Neutral
2003-04-16 00:00:00-04:00,45.44,Neutral
2003-04-17 00:00:00-04:00,49.66,Neutral
2003-04-21 00:00:00-04:00,42.64,Fear
2003-04-22 00:00:00-04:00,52.71,Neutral
2003-04-23 00:00:00-04:00,54.56,Neutral
2003-04-24 00:00:00-04:00,52.63,Neutral
2003-04-25 00:00:00-04:00,50.5,Neutral
2003-04-28 00:00:00-04:00,52.96,Neutral
2003-04-29 00:00:00-04:00,43.54,Fear
2003-04-30 00:00:00-04:00,50.12,Neutral
2003-05-01 00:00:00-04:00,52.72,Neutral
2003-05-02 00:00:00-04:00,88.0,Extreme Greed
2003-05-05 00:00:00-04:00,93.08,Extreme Greed
2003-05-06 00:00:00-04:00,87.7,Extreme Greed
2003-05-07 00:00:00-04:00,81.58,Extreme Greed
2003-05-08 00:00:00-04:00,80.72,Extreme Greed
2003-05-09 00:00:00-04:00,79.85,Extreme Greed
2003-05-12 00:00:00-04:00,77.0,Extreme Greed
2003-05-13 00:00:00-04:00,76.47,Extreme Greed
2003-05-14 00:00:00-04:00,77.13,Extreme Greed
2003-05-15 00:00:00-04:00,93.54,Extreme Greed
2003-05-16 00:00:00-04:00,92.04,Extreme Greed
2003-05-19 00:00:00-04:00,86.49,Extreme Greed
2003-05-20 00:00:00-04:00,93.32,Extreme Greed
2003-05-21 00:00:00-04:00,95.79,Extreme Greed
2003-05-22 00:00:00-04:00,91.5,Extreme Greed
2003-05-23 00:00:00-04:00,95.89,Extreme Greed
2003-05-27 00:00:00-04:00,89.78,Extreme Greed
2003-05-28 00:00:00-04:00,96.6,Extreme Greed
2003-05-29 00:00:00-04:00,96.05,Extreme Greed
2003-05-30 00:00:00-04:00,89.98,Extreme Greed
2003-06-02 00:00:00-04:00,99.0,Extreme Greed
2003-06-03 00:00:00-04:00,90.5,Extreme Greed
2003-06-04 00:00:00-04:00,96.66,Extreme Greed
2003-06-05 00:00:00-04:00,97.42,Extreme Greed
2003-06-06 00:00:00-04:00,100.0,Extreme Greed
2003-06-09 00:00:00-04:00,100.0,Extreme Greed
2003-06-10 00:00:00-04:00,98.58,Extreme Greed
2003-06-11 00:00:00-04:00,100.0,Extreme Greed
2003-06-12 00:00:00-04:00,93.77,Extreme Greed
2003-06-13 00:00:00-04:00,100.0,Extreme Greed
2003-06-16 00:00:00-04:00,97.02,Extreme Greed
2003-06-17 00:00:00-04:00,96.65,Extreme Greed
2003-06-18 00:00:00-04:00,99.0,Extreme Greed
2003-06-19 00:00:00-04:00,96.16,Extreme Greed
2003-06-20 00:00:00-04:00,100.0,Extreme Greed
2003-06-23 00:00:00-04:00,96.57,Extreme Greed
2003-06-24 00:00:00-04:00,98.93,Extreme Greed
