Date,Fear_Greed_Index,Sentiment
1984-01-03 00:00:00+00:00,48.1,Neutral
1984-01-04 00:00:00+00:00,50.84,Neutral
1984-01-05 00:00:00+00:00,52.83,Neutral
1984-01-06 00:00:00+00:00,49.8,Neutral
1984-01-09 00:00:00+00:00,52.73,Neutral
1984-01-10 00:00:00+00:00,49.85,Neutral
1984-01-11 00:00:00+00:00,40.43,Fear
1984-01-12 00:00:00+00:00,63.15,Greed
1984-01-13 00:00:00+00:00,50.43,Neutral
1984-01-16 00:00:00+00:00,49.06,Neutral
1984-01-17 00:00:00+00:00,55.44,Greed
1984-01-18 00:00:00+00:00,46.17,Neutral
1984-01-19 00:00:00+00:00,43.08,Fear
1984-01-20 00:00:00+00:00,98.84,Extreme Greed
1984-01-23 00:00:00+00:00,91.05,Extreme Greed
1984-01-24 00:00:00+00:00,92.9,Extreme Greed
1984-01-25 00:00:00+00:00,91.79,Extreme Greed
1984-01-26 00:00:00+00:00,84.28,Extreme Greed
1984-01-27 00:00:00+00:00,80.42,Extreme Greed
1984-01-30 00:00:00+00:00,88.18,Extreme Greed
1984-01-31 00:00:00+00:00,84.61,Extreme Greed
1984-02-01 00:00:00+00:00,93.84,Extreme Greed
1984-02-02 00:00:00+00:00,84.41,Extreme Greed
1984-02-03 00:00:00+00:00,90.41,Extreme Greed
1984-02-06 00:00:00+00:00,79.38,Extreme Greed
1984-02-07 00:00:00+00:00,75.81,Extreme Greed
1984-02-08 00:00:00+00:00,79.63,Extreme Greed
1984-02-09 00:00:00+00:00,80.33,Extreme Greed
1984-02-10 00:00:00+00:00,66.53,Greed
1984-02-13 00:00:00+00:00,63.11,Greed
1984-02-14 00:00:00+00:00,54.64,Neutral
1984-02-15 00:00:00+00:00,61.04,Greed
1984-02-16 00:00:00+00:00,61.87,Greed
1984-02-17 00:00:00+00:00,69.01,Greed
1984-02-20 00:00:00+00:00,76.87,Extreme Greed
1984-02-21 00:00:00+00:00,66.9,Greed
1984-02-22 00:00:00+00:00,69.5,Greed
1984-02-23 00:00:00+00:00,78.95,Extreme Greed
1984-02-24 00:00:00+00:00,77.05,Extreme Greed
1984-02-27 00:00:00+00:00,75.11,Extreme Greed
1984-02-28 00:00:00+00:00,80.22,Extreme Greed
1984-02-29 00:00:00+00:00,67.17,Greed
1984-03-01 00:00:00+00:00,68.51,Greed
1984-03-02 00:00:00+00:00,80.34,Extreme Greed
1984-03-05 00:00:00+00:00,69.26,Greed
1984-03-06 00:00:00+00:00,79.6,Extreme Greed
1984-03-07 00:00:00+00:00,78.22,Extreme Greed
1984-03-08 00:00:00+00:00,81.49,Extreme Greed
1984-03-09 00:00:00+00:00,81.96,Extreme Greed
1984-03-12 00:00:00+00:00,81.93,Extreme Greed
1984-03-13 00:00:00+00:00,91.92,Extreme Greed
1984-03-14 00:00:00+00:00,86.91,Extreme Greed
1984-03-15 00:00:00+00:00,91.14,Extreme Greed
1984-03-16 00:00:00+00:00,88.02,Extreme Greed
1984-03-19 00:00:00+00:00,87.74,Extreme Greed
1984-03-20 00:00:00+00:00,93.69,Extreme Greed
1984-03-21 00:00:00+00:00,93.95,Extreme Greed
1984-03-22 00:00:00+00:00,84.87,Extreme Greed
1984-03-23 00:00:00+00:00,89.47,Extreme Greed
1984-03-26 00:00:00+01:00,89.62,Extreme Greed
1984-03-27 00:00:00+01:00,85.08,Extreme Greed
1984-03-28 00:00:00+01:00,79.62,Extreme Greed
1984-03-29 00:00:00+01:00,93.59,Extreme Greed
1984-03-30 00:00:00+01:00,78.83,Extreme Greed
1984-04-02 00:00:00+01:00,90.44,Extreme Greed
1984-04-03 00:00:00+01:00,87.39,Extreme Greed
1984-04-04 00:00:00+01:00,77.76,Extreme Greed
1984-04-05 00:00:00+01:00,83.78,Extreme Greed
1984-04-06 00:00:00+01:00,78.07,Extreme Greed
1984-04-09 00:00:00+01:00,84.64,Extreme Greed
1984-04-10 00:00:00+01:00,81.68,Extreme Greed
1984-04-11 00:00:00+01:00,78.55,Extreme Greed
1984-04-12 00:00:00+01:00,93.62,Extreme Greed
1984-04-13 00:00:00+01:00,90.87,Extreme Greed
1984-04-16 00:00:00+01:00,80.8,Extreme Greed
1984-04-17 00:00:00+01:00,89.25,Extreme Greed
1984-04-18 00:00:00+01:00,84.21,Extreme Greed
1984-04-19 00:00:00+01:00,80.65,Extreme Greed
1984-04-24 00:00:00+01:00,82.45,Extreme Greed
1984-04-25 00:00:00+01:00,74.01,Greed
1984-04-26 00:00:00+01:00,82.13,Extreme Greed
1984-04-27 00:00:00+01:00,81.51,Extreme Greed
1984-04-30 00:00:00+01:00,92.56,Extreme Greed
1984-05-01 00:00:00+01:00,81.09,Extreme Greed
1984-05-02 00:00:00+01:00,82.04,Extreme Greed
1984-05-03 00:00:00+01:00,83.94,Extreme Greed
1984-05-04 00:00:00+01:00,84.24,Extreme Greed
1984-05-08 00:00:00+01:00,92.38,Extreme Greed
1984-05-09 00:00:00+01:00,85.03,Extreme Greed
1984-05-10 00:00:00+01:00,85.83,Extreme Greed
1984-05-11 00:00:00+01:00,83.58,Extreme Greed
1984-05-14 00:00:00+01:00,74.12,Greed
1984-05-15 00:00:00+01:00,75.99,Extreme Greed
1984-05-16 00:00:00+01:00,76.89,Extreme Greed
1984-05-17 00:00:00+01:00,77.94,Extreme Greed
1984-05-18 00:00:00+01:00,72.32,Greed
1984-05-21 00:00:00+01:00,89.72,Extreme Greed
1984-05-22 00:00:00+01:00,66.59,Greed
1984-05-23 00:00:00+01:00,69.67,Greed
1984-05-24 00:00:00+01:00,80.71,Extreme Greed
1984-05-25 00:00:00+01:00,65.2,Greed
1984-05-29 00:00:00+01:00,67.3,Greed
1984-05-30 00:00:00+01:00,62.55,Greed
1984-05-31 00:00:00+01:00,53.58,Neutral
1984-06-01 00:00:00+01:00,66.09,Greed
1984-06-04 00:00:00+01:00,44.15,Fear
