Date,Fear_Greed_Index,Sentiment
1927-12-30 00:00:00-05:00,46.31,Neutral
1928-01-03 00:00:00-05:00,53.48,Neutral
1928-01-04 00:00:00-05:00,48.71,Neutral
1928-01-05 00:00:00-05:00,51.67,Neutral
1928-01-06 00:00:00-05:00,53.93,Neutral
1928-01-09 00:00:00-05:00,56.99,Greed
1928-01-10 00:00:00-05:00,51.14,Neutral
1928-01-11 00:00:00-05:00,38.92,Fear
1928-01-12 00:00:00-05:00,39.78,Fear
1928-01-13 00:00:00-05:00,52.45,Neutral
1928-01-16 00:00:00-05:00,44.92,Fear
1928-01-17 00:00:00-05:00,52.12,Neutral
1928-01-18 00:00:00-05:00,43.4,Fear
1928-01-19 00:00:00-05:00,65.92,Greed
1928-01-20 00:00:00-05:00,75.51,Extreme Greed
1928-01-23 00:00:00-05:00,67.64,Greed
1928-01-24 00:00:00-05:00,69.52,Greed
1928-01-25 00:00:00-05:00,82.43,Extreme Greed
1928-01-26 00:00:00-05:00,74.97,Greed
1928-01-27 00:00:00-05:00,63.93,Greed
1928-01-30 00:00:00-05:00,80.85,Extreme Greed
1928-01-31 00:00:00-05:00,74.92,Greed
1928-02-01 00:00:00-05:00,71.06,Greed
1928-02-02 00:00:00-05:00,68.11,Greed
1928-02-03 00:00:00-05:00,75.75,Extreme Greed
1928-02-06 00:00:00-05:00,70.87,Greed
1928-02-07 00:00:00-05:00,72.99,Greed
1928-02-08 00:00:00-05:00,81.76,Extreme Greed
1928-02-09 00:00:00-05:00,76.55,Extreme Greed
1928-02-10 00:00:00-05:00,62.69,Greed
1928-02-14 00:00:00-05:00,71.55,Greed
1928-02-15 00:00:00-05:00,69.57,Greed
1928-02-16 00:00:00-05:00,72.68,Greed
1928-02-17 00:00:00-05:00,70.79,Greed
1928-02-20 00:00:00-05:00,73.33,Greed
1928-02-21 00:00:00-05:00,70.32,Greed
1928-02-23 00:00:00-05:00,60.86,Greed
1928-02-24 00:00:00-05:00,67.66,Greed
1928-02-27 00:00:00-05:00,59.05,Greed
1928-02-28 00:00:00-05:00,73.7,Greed
1928-02-29 00:00:00-05:00,57.03,Greed
1928-03-01 00:00:00-05:00,69.58,Greed
1928-03-02 00:00:00-05:00,60.65,Greed
1928-03-05 00:00:00-05:00,69.23,Greed
1928-03-06 00:00:00-05:00,64.92,Greed
1928-03-07 00:00:00-05:00,74.01,Greed
1928-03-08 00:00:00-05:00,78.2,Extreme Greed
1928-03-09 00:00:00-05:00,73.58,Greed
1928-03-12 00:00:00-05:00,80.56,Extreme Greed
1928-03-13 00:00:00-05:00,85.88,Extreme Greed
1928-03-14 00:00:00-05:00,85.55,Extreme Greed
1928-03-15 00:00:00-05:00,78.91,Extreme Greed
1928-03-16 00:00:00-05:00,91.9,Extreme Greed
1928-03-19 00:00:00-05:00,83.94,Extreme Greed
1928-03-20 00:00:00-05:00,86.81,Extreme Greed
1928-03-21 00:00:00-05:00,87.96,Extreme Greed
1928-03-22 00:00:00-05:00,94.75,Extreme Greed
1928-03-23 00:00:00-05:00,84.65,Extreme Greed
1928-03-26 00:00:00-05:00,96.48,Extreme Greed
1928-03-27 00:00:00-05:00,97.41,Extreme Greed
1928-03-28 00:00:00-05:00,98.34,Extreme Greed
1928-03-29 00:00:00-05:00,87.63,Extreme Greed
1928-03-30 00:00:00-05:00,100.0,Extreme Greed
1928-04-02 00:00:00-05:00,88.52,Extreme Greed
1928-04-03 00:00:00-05:00,85.57,Extreme Greed
1928-04-04 00:00:00-05:00,88.49,Extreme Greed
1928-04-05 00:00:00-05:00,87.61,Extreme Greed
1928-04-09 00:00:00-05:00,90.05,Extreme Greed
1928-04-10 00:00:00-05:00,90.07,Extreme Greed
1928-04-11 00:00:00-05:00,77.26,Extreme Greed
1928-04-12 00:00:00-05:00,81.81,Extreme Greed
1928-04-13 00:00:00-05:00,85.37,Extreme Greed
1928-04-16 00:00:00-05:00,88.23,Extreme Greed
1928-04-17 00:00:00-05:00,81.25,Extreme Greed
1928-04-18 00:00:00-05:00,93.94,Extreme Greed
1928-04-19 00:00:00-05:00,87.3,Extreme Greed
1928-04-20 00:00:00-05:00,78.41,Extreme Greed
1928-04-23 00:00:00-05:00,92.3,Extreme Greed
1928-04-24 00:00:00-05:00,81.28,Extreme Greed
1928-04-25 00:00:00-05:00,87.93,Extreme Greed
1928-04-26 00:00:00-05:00,86.49,Extreme Greed
1928-04-27 00:00:00-05:00,90.77,Extreme Greed
1928-04-30 00:00:00-04:00,88.16,Extreme Greed
1928-05-01 00:00:00-04:00,91.99,Extreme Greed
1928-05-02 00:00:00-04:00,79.32,Extreme Greed
1928-05-03 00:00:00-04:00,100.0,Extreme Greed
1928-05-04 00:00:00-04:00,89.41,Extreme Greed
1928-05-07 00:00:00-04:00,83.38,Extreme Greed
1928-05-08 00:00:00-04:00,91.62,Extreme Greed
1928-05-09 00:00:00-04:00,82.25,Extreme Greed
1928-05-10 00:00:00-04:00,94.07,Extreme Greed
1928-05-11 00:00:00-04:00,93.96,Extreme Greed
1928-05-14 00:00:00-04:00,96.06,Extreme Greed
1928-05-15 00:00:00-04:00,86.69,Extreme Greed
1928-05-16 00:00:00-04:00,81.31,Extreme Greed
1928-05-17 00:00:00-04:00,99.98,Extreme Greed
1928-05-18 00:00:00-04:00,87.8,Extreme Greed
1928-05-21 00:00:00-04:00,92.63,Extreme Greed
1928-05-22 00:00:00-04:00,81.04,Extreme Greed
1928-05-23 00:00:00-04:00,83.26,Extreme Greed
1928-05-24 00:00:00-04:00,87.04,Extreme Greed
1928-05-25 00:00:00-04:00,74.67,Greed
1928-05-28 00:00:00-04:00,87.56,Extreme Greed
1928-05-29 00:00:00-04:00,75.62,Extreme Greed
1928-05-31 00:00:00-04:00,73.08,Greed
