Date,Fear_Greed_Index,Sentiment
1986-12-31 00:00:00+08:00,50.84,Neutral
1987-01-02 00:00:00+08:00,49.77,Neutral
1987-01-05 00:00:00+08:00,49.35,Neutral
1987-01-06 00:00:00+08:00,51.02,Neutral
1987-01-07 00:00:00+08:00,42.69,Fear
1987-01-08 00:00:00+08:00,45.48,Neutral
1987-01-09 00:00:00+08:00,49.82,Neutral
1987-01-12 00:00:00+08:00,50.02,Neutral
1987-01-13 00:00:00+08:00,49.2,Neutral
1987-01-14 00:00:00+08:00,50.76,Neutral
1987-01-15 00:00:00+08:00,44.06,Fear
1987-01-16 00:00:00+08:00,48.7,Neutral
1987-01-19 00:00:00+08:00,51.28,Neutral
1987-01-20 00:00:00+08:00,38.17,Fear
1987-01-21 00:00:00+08:00,40.61,Fear
1987-01-22 00:00:00+08:00,36.08,Fear
1987-01-23 00:00:00+08:00,43.45,Fear
1987-01-26 00:00:00+08:00,53.08,Neutral
1987-01-27 00:00:00+08:00,52.88,Neutral
1987-01-28 00:00:00+08:00,51.1,Neutral
1987-02-02 00:00:00+08:00,57.18,Greed
1987-02-03 00:00:00+08:00,49.66,Neutral
1987-02-04 00:00:00+08:00,54.24,Neutral
1987-02-05 00:00:00+08:00,69.97,Greed
1987-02-06 00:00:00+08:00,65.52,Greed
1987-02-09 00:00:00+08:00,74.61,Greed
1987-02-10 00:00:00+08:00,74.43,Greed
1987-02-11 00:00:00+08:00,85.08,Extreme Greed
1987-02-12 00:00:00+08:00,91.47,Extreme Greed
1987-02-13 00:00:00+08:00,89.66,Extreme Greed
1987-02-16 00:00:00+08:00,76.96,Extreme Greed
1987-02-17 00:00:00+08:00,92.98,Extreme Greed
1987-02-18 00:00:00+08:00,89.18,Extreme Greed
1987-02-19 00:00:00+08:00,82.77,Extreme Greed
1987-02-20 00:00:00+08:00,82.45,Extreme Greed
1987-02-23 00:00:00+08:00,85.2,Extreme Greed
1987-02-24 00:00:00+08:00,84.21,Extreme Greed
1987-02-25 00:00:00+08:00,82.68,Extreme Greed
1987-02-26 00:00:00+08:00,84.2,Extreme Greed
1987-02-27 00:00:00+08:00,89.93,Extreme Greed
1987-03-02 00:00:00+08:00,85.77,Extreme Greed
1987-03-03 00:00:00+08:00,82.38,Extreme Greed
