Date,Fear_Greed_Index,Sentiment
1987-09-10 00:00:00-04:00,56.57,Greed
1987-09-11 00:00:00-04:00,45.56,Neutral
1987-09-14 00:00:00-04:00,43.29,Fear
1987-09-15 00:00:00-04:00,49.0,Neutral
1987-09-16 00:00:00-04:00,40.9,Fear
1987-09-17 00:00:00-04:00,48.23,Neutral
1987-09-18 00:00:00-04:00,55.58,Greed
1987-09-21 00:00:00-04:00,47.84,Neutral
1987-09-22 00:00:00-04:00,60.9,Greed
1987-09-23 00:00:00-04:00,46.61,Neutral
1987-09-24 00:00:00-04:00,50.4,Neutral
1987-09-25 00:00:00-04:00,49.95,Neutral
1987-09-28 00:00:00-04:00,60.43,Greed
1987-09-29 00:00:00-04:00,91.17,Extreme Greed
1987-09-30 00:00:00-04:00,89.62,Extreme Greed
1987-10-01 00:00:00-04:00,85.48,Extreme Greed
1987-10-02 00:00:00-04:00,87.91,Extreme Greed
1987-10-05 00:00:00-04:00,88.91,Extreme Greed
1987-10-06 00:00:00-04:00,85.4,Extreme Greed
1987-10-07 00:00:00-04:00,79.07,Extreme Greed
1987-10-08 00:00:00-04:00,86.26,Extreme Greed
1987-10-09 00:00:00-04:00,91.71,Extreme Greed
1987-10-12 00:00:00-04:00,73.26,Greed
1987-10-13 00:00:00-04:00,78.14,Extreme Greed
1987-10-14 00:00:00-04:00,59.9,Greed
1987-10-15 00:00:00-04:00,69.82,Greed
1987-10-16 00:00:00-04:00,59.35,Greed
1987-10-19 00:00:00-04:00,46.89,Neutral
1987-10-20 00:00:00-04:00,34.69,Fear
1987-10-21 00:00:00-04:00,39.95,Fear
1987-10-22 00:00:00-04:00,26.92,Fear
1987-10-23 00:00:00-04:00,18.68,Extreme Fear
1987-10-26 00:00:00-05:00,20.93,Extreme Fear
1987-10-27 00:00:00-05:00,15.12,Extreme Fear
1987-10-28 00:00:00-05:00,12.94,Extreme Fear
1987-10-29 00:00:00-05:00,13.76,Extreme Fear
1987-10-30 00:00:00-05:00,1.1,Extreme Fear
1987-11-02 00:00:00-05:00,12.22,Extreme Fear
1987-11-03 00:00:00-05:00,8.65,Extreme Fear
1987-11-04 00:00:00-05:00,9.68,Extreme Fear
1987-11-05 00:00:00-05:00,13.12,Extreme Fear
1987-11-06 00:00:00-05:00,19.86,Extreme Fear
1987-11-09 00:00:00-05:00,11.09,Extreme Fear
1987-11-10 00:00:00-05:00,15.84,Extreme Fear
1987-11-11 00:00:00-05:00,23.77,Extreme Fear
1987-11-12 00:00:00-05:00,19.64,Extreme Fear
1987-11-13 00:00:00-05:00,21.29,Extreme Fear
1987-11-16 00:00:00-05:00,31.8,Fear
1987-11-17 00:00:00-05:00,25.18,Fear
1987-11-18 00:00:00-05:00,36.57,Fear
1987-11-19 00:00:00-05:00,27.35,Fear
1987-11-20 00:00:00-05:00,26.09,Fear
1987-11-23 00:00:00-05:00,34.93,Fear
1987-11-24 00:00:00-05:00,46.59,Neutral
1987-11-25 00:00:00-05:00,40.02,Fear
1987-11-27 00:00:00-05:00,37.36,Fear
1987-11-30 00:00:00-05:00,45.25,Neutral
1987-12-01 00:00:00-05:00,42.5,Fear
1987-12-02 00:00:00-05:00,38.19,Fear
1987-12-03 00:00:00-05:00,36.54,Fear
1987-12-04 00:00:00-05:00,30.22,Fear
1987-12-07 00:00:00-05:00,32.18,Fear
1987-12-08 00:00:00-05:00,31.07,Fear
1987-12-09 00:00:00-05:00,22.9,Extreme Fear
1987-12-10 00:00:00-05:00,22.81,Extreme Fear
1987-12-11 00:00:00-05:00,27.06,Fear
1987-12-14 00:00:00-05:00,35.96,Fear
1987-12-15 00:00:00-05:00,41.11,Fear
1987-12-16 00:00:00-05:00,40.56,Fear
1987-12-17 00:00:00-05:00,42.76,Fear
1987-12-18 00:00:00-05:00,53.14,Neutral
1987-12-21 00:00:00-05:00,49.82,Neutral
1987-12-22 00:00:00-05:00,50.09,Neutral
1987-12-23 00:00:00-05:00,71.97,Greed
1987-12-24 00:00:00-05:00,70.85,Greed
1987-12-28 00:00:00-05:00,56.83,Greed
1987-12-29 00:00:00-05:00,64.13,Greed
1987-12-30 00:00:00-05:00,73.83,Greed
1987-12-31 00:00:00-05:00,68.04,Greed
1988-01-04 00:00:00-05:00,66.33,Greed
1988-01-05 00:00:00-05:00,68.11,Greed
1988-01-06 00:00:00-05:00,70.93,Greed
1988-01-07 00:00:00-05:00,69.18,Greed
1988-01-08 00:00:00-05:00,71.53,Greed
1988-01-11 00:00:00-05:00,71.68,Greed
1988-01-12 00:00:00-05:00,73.81,Greed
1988-01-13 00:00:00-05:00,65.65,Greed
1988-01-14 00:00:00-05:00,66.74,Greed
1988-01-15 00:00:00-05:00,61.87,Greed
1988-01-18 00:00:00-05:00,68.79,Greed
1988-01-19 00:00:00-05:00,78.96,Extreme Greed
1988-01-20 00:00:00-05:00,75.4,Extreme Greed
1988-01-21 00:00:00-05:00,65.32,Greed
1988-01-22 00:00:00-05:00,66.47,Greed
1988-01-25 00:00:00-05:00,76.32,Extreme Greed
1988-01-26 00:00:00-05:00,70.69,Greed
1988-01-27 00:00:00-05:00,75.6,Extreme Greed
1988-01-28 00:00:00-05:00,75.32,Extreme Greed
1988-01-29 00:00:00-05:00,75.49,Extreme Greed
1988-02-01 00:00:00-05:00,71.84,Greed
1988-02-02 00:00:00-05:00,73.86,Greed
1988-02-03 00:00:00-05:00,79.78,Extreme Greed
1988-02-04 00:00:00-05:00,81.14,Extreme Greed
1988-02-05 00:00:00-05:00,83.78,Extreme Greed
1988-02-08 00:00:00-05:00,85.93,Extreme Greed
1988-02-09 00:00:00-05:00,85.01,Extreme Greed
1988-02-10 00:00:00-05:00,88.07,Extreme Greed
1988-02-11 00:00:00-05:00,81.04,Extreme Greed
1988-02-12 00:00:00-05:00,90.4,Extreme Greed
1988-02-16 00:00:00-05:00,90.89,Extreme Greed
1988-02-17 00:00:00-05:00,84.96,Extreme Greed
1988-02-18 00:00:00-05:00,83.94,Extreme Greed
1988-02-19 00:00:00-05:00,90.58,Extreme Greed
1988-02-22 00:00:00-05:00,89.55,Extreme Greed
1988-02-23 00:00:00-05:00,80.91,Extreme Greed
1988-02-24 00:00:00-05:00,85.45,Extreme Greed
1988-02-25 00:00:00-05:00,98.08,Extreme Greed
1988-02-26 00:00:00-05:00,96.78,Extreme Greed
1988-02-29 00:00:00-05:00,97.37,Extreme Greed
1988-03-01 00:00:00-05:00,93.33,Extreme Greed
1988-03-02 00:00:00-05:00,100.0,Extreme Greed
1988-03-03 00:00:00-05:00,91.82,Extreme Greed
1988-03-04 00:00:00-05:00,92.22,Extreme Greed
1988-03-07 00:00:00-05:00,96.64,Extreme Greed
1988-03-08 00:00:00-05:00,96.44,Extreme Greed
1988-03-09 00:00:00-05:00,97.57,Extreme Greed
1988-03-10 00:00:00-05:00,99.86,Extreme Greed
1988-03-11 00:00:00-05:00,98.62,Extreme Greed
1988-03-14 00:00:00-05:00,90.88,Extreme Greed
1988-03-15 00:00:00-05:00,93.2,Extreme Greed
1988-03-16 00:00:00-05:00,87.25,Extreme Greed
1988-03-17 00:00:00-05:00,100.0,Extreme Greed
1988-03-18 00:00:00-05:00,97.99,Extreme Greed
1988-03-21 00:00:00-05:00,88.91,Extreme Greed
1988-03-22 00:00:00-05:00,97.94,Extreme Greed
1988-03-23 00:00:00-05:00,94.02,Extreme Greed
1988-03-24 00:00:00-05:00,94.06,Extreme Greed
1988-03-25 00:00:00-05:00,100.0,Extreme Greed
1988-03-28 00:00:00-05:00,90.33,Extreme Greed
1988-03-29 00:00:00-05:00,92.03,Extreme Greed
1988-03-30 00:00:00-05:00,96.54,Extreme Greed
1988-03-31 00:00:00-05:00,99.1,Extreme Greed
1988-04-04 00:00:00-04:00,92.52,Extreme Greed
1988-04-05 00:00:00-04:00,85.36,Extreme Greed
1988-04-06 00:00:00-04:00,87.13,Extreme Greed
1988-04-07 00:00:00-04:00,88.31,Extreme Greed
1988-04-08 00:00:00-04:00,88.71,Extreme Greed
1988-04-11 00:00:00-04:00,95.12,Extreme Greed
1988-04-12 00:00:00-04:00,87.21,Extreme Greed
1988-04-13 00:00:00-04:00,97.83,Extreme Greed
1988-04-14 00:00:00-04:00,93.14,Extreme Greed
1988-04-15 00:00:00-04:00,90.96,Extreme Greed
1988-04-18 00:00:00-04:00,86.08,Extreme Greed
1988-04-19 00:00:00-04:00,87.79,Extreme Greed
1988-04-20 00:00:00-04:00,90.74,Extreme Greed
1988-04-21 00:00:00-04:00,92.05,Extreme Greed
1988-04-22 00:00:00-04:00,87.57,Extreme Greed
1988-04-25 00:00:00-04:00,88.41,Extreme Greed
1988-04-26 00:00:00-04:00,86.3,Extreme Greed
1988-04-27 00:00:00-04:00,82.4,Extreme Greed
1988-04-28 00:00:00-04:00,90.4,Extreme Greed
1988-04-29 00:00:00-04:00,94.47,Extreme Greed
1988-05-02 00:00:00-04:00,98.69,Extreme Greed
1988-05-03 00:00:00-04:00,96.06,Extreme Greed
1988-05-04 00:00:00-04:00,98.39,Extreme Greed
1988-05-05 00:00:00-04:00,99.03,Extreme Greed
1988-05-06 00:00:00-04:00,100.0,Extreme Greed
1988-05-09 00:00:00-04:00,95.15,Extreme Greed
1988-05-10 00:00:00-04:00,97.69,Extreme Greed
1988-05-11 00:00:00-04:00,84.65,Extreme Greed
1988-05-12 00:00:00-04:00,82.86,Extreme Greed
1988-05-13 00:00:00-04:00,81.59,Extreme Greed
1988-05-16 00:00:00-04:00,86.98,Extreme Greed
1988-05-17 00:00:00-04:00,85.87,Extreme Greed
1988-05-18 00:00:00-04:00,80.1,Extreme Greed
1988-05-19 00:00:00-04:00,73.89,Greed
1988-05-20 00:00:00-04:00,71.68,Greed
1988-05-23 00:00:00-04:00,71.29,Greed
1988-05-24 00:00:00-04:00,65.75,Greed
1988-05-25 00:00:00-04:00,70.28,Greed
1988-05-26 00:00:00-04:00,80.38,Extreme Greed
1988-05-27 00:00:00-04:00,81.81,Extreme Greed
1988-05-31 00:00:00-04:00,76.1,Extreme Greed
1988-06-01 00:00:00-04:00,67.57,Greed
1988-06-02 00:00:00-04:00,79.17,Extreme Greed
1988-06-03 00:00:00-04:00,82.25,Extreme Greed
1988-06-06 00:00:00-04:00,95.92,Extreme Greed
1988-06-07 00:00:00-04:00,92.93,Extreme Greed
1988-06-08 00:00:00-04:00,82.02,Extreme Greed
1988-06-09 00:00:00-04:00,88.12,Extreme Greed
1988-06-10 00:00:00-04:00,99.72,Extreme Greed
1988-06-13 00:00:00-04:00,85.2,Extreme Greed
1988-06-14 00:00:00-04:00,91.97,Extreme Greed
1988-06-15 00:00:00-04:00,92.52,Extreme Greed
1988-06-16 00:00:00-04:00,100.0,Extreme Greed
1988-06-17 00:00:00-04:00,94.96,Extreme Greed
1988-06-20 00:00:00-04:00,85.94,Extreme Greed
1988-06-21 00:00:00-04:00,95.88,Extreme Greed
1988-06-22 00:00:00-04:00,93.93,Extreme Greed
1988-06-23 00:00:00-04:00,100.0,Extreme Greed
1988-06-24 00:00:00-04:00,88.97,Extreme Greed
1988-06-27 00:00:00-04:00,96.34,Extreme Greed
1988-06-28 00:00:00-04:00,100.0,Extreme Greed
1988-06-29 00:00:00-04:00,95.67,Extreme Greed
1988-06-30 00:00:00-04:00,100.0,Extreme Greed
1988-07-01 00:00:00-04:00,95.42,Extreme Greed
1988-07-05 00:00:00-04:00,99.48,Extreme Greed
1988-07-06 00:00:00-04:00,94.2,Extreme Greed
1988-07-07 00:00:00-04:00,93.19,Extreme Greed
1988-07-08 00:00:00-04:00,96.93,Extreme Greed
1988-07-11 00:00:00-04:00,88.97,Extreme Greed
1988-07-12 00:00:00-04:00,100.0,Extreme Greed
1988-07-13 00:00:00-04:00,91.04,Extreme Greed
