Date,Fear_Greed_Index,Sentiment
1993-01-29 00:00:00-05:00,55.08,Greed
1993-02-01 00:00:00-05:00,40.28,Fear
1993-02-02 00:00:00-05:00,49.64,Neutral
1993-02-03 00:00:00-05:00,58.23,Greed
1993-02-04 00:00:00-05:00,44.9,Fear
1993-02-05 00:00:00-05:00,41.11,Fear
1993-02-08 00:00:00-05:00,47.79,Neutral
1993-02-09 00:00:00-05:00,54.73,Neutral
1993-02-10 00:00:00-05:00,52.34,Neutral
1993-02-11 00:00:00-05:00,49.16,Neutral
1993-02-12 00:00:00-05:00,48.85,Neutral
1993-02-16 00:00:00-05:00,47.11,Neutral
1993-02-17 00:00:00-05:00,44.24,Fear
1993-02-18 00:00:00-05:00,82.37,Extreme Greed
1993-02-19 00:00:00-05:00,63.69,Greed
1993-02-22 00:00:00-05:00,74.47,Greed
1993-02-23 00:00:00-05:00,58.69,Greed
1993-02-24 00:00:00-05:00,75.08,Extreme Greed
1993-02-25 00:00:00-05:00,72.05,Greed
1993-02-26 00:00:00-05:00,75.8,Extreme Greed
1993-03-01 00:00:00-05:00,67.54,Greed
1993-03-02 00:00:00-05:00,83.84,Extreme Greed
1993-03-03 00:00:00-05:00,76.04,Extreme Greed
1993-03-04 00:00:00-05:00,82.07,Extreme Greed
1993-03-05 00:00:00-05:00,91.72,Extreme Greed
1993-03-08 00:00:00-05:00,82.7,Extreme Greed
1993-03-09 00:00:00-05:00,83.9,Extreme Greed
1993-03-10 00:00:00-05:00,83.58,Extreme Greed
1993-03-11 00:00:00-05:00,94.15,Extreme Greed
1993-03-12 00:00:00-05:00,97.89,Extreme Greed
1993-03-15 00:00:00-05:00,87.95,Extreme Greed
1993-03-16 00:00:00-05:00,81.93,Extreme Greed
1993-03-17 00:00:00-05:00,92.42,Extreme Greed
1993-03-18 00:00:00-05:00,87.03,Extreme Greed
1993-03-19 00:00:00-05:00,82.29,Extreme Greed
1993-03-22 00:00:00-05:00,83.53,Extreme Greed
1993-03-23 00:00:00-05:00,84.19,Extreme Greed
1993-03-24 00:00:00-05:00,87.27,Extreme Greed
1993-03-25 00:00:00-05:00,77.5,Extreme Greed
1993-03-26 00:00:00-05:00,82.0,Extreme Greed
1993-03-29 00:00:00-05:00,83.79,Extreme Greed
1993-03-30 00:00:00-05:00,81.28,Extreme Greed
1993-03-31 00:00:00-05:00,79.59,Extreme Greed
1993-04-01 00:00:00-05:00,77.58,Extreme Greed
1993-04-02 00:00:00-05:00,87.44,Extreme Greed
1993-04-05 00:00:00-04:00,67.66,Greed
1993-04-06 00:00:00-04:00,62.12,Greed
1993-04-07 00:00:00-04:00,65.87,Greed
1993-04-08 00:00:00-04:00,68.09,Greed
1993-04-12 00:00:00-04:00,75.96,Extreme Greed
1993-04-13 00:00:00-04:00,64.31,Greed
1993-04-14 00:00:00-04:00,75.4,Extreme Greed
1993-04-15 00:00:00-04:00,73.48,Greed
1993-04-16 00:00:00-04:00,71.26,Greed
1993-04-19 00:00:00-04:00,76.73,Extreme Greed
1993-04-20 00:00:00-04:00,78.14,Extreme Greed
1993-04-21 00:00:00-04:00,72.8,Greed
1993-04-22 00:00:00-04:00,65.32,Greed
1993-04-23 00:00:00-04:00,68.08,Greed
1993-04-26 00:00:00-04:00,64.0,Greed
1993-04-27 00:00:00-04:00,67.66,Greed
1993-04-28 00:00:00-04:00,70.09,Greed
1993-04-29 00:00:00-04:00,64.45,Greed
1993-04-30 00:00:00-04:00,63.94,Greed
1993-05-03 00:00:00-04:00,60.69,Greed
1993-05-04 00:00:00-04:00,64.98,Greed
1993-05-05 00:00:00-04:00,70.65,Greed
1993-05-06 00:00:00-04:00,81.21,Extreme Greed
1993-05-07 00:00:00-04:00,62.44,Greed
1993-05-10 00:00:00-04:00,74.65,Greed
1993-05-11 00:00:00-04:00,81.28,Extreme Greed
1993-05-12 00:00:00-04:00,79.42,Extreme Greed
1993-05-13 00:00:00-04:00,79.52,Extreme Greed
1993-05-14 00:00:00-04:00,79.42,Extreme Greed
1993-05-17 00:00:00-04:00,71.79,Greed
1993-05-18 00:00:00-04:00,62.21,Greed
1993-05-19 00:00:00-04:00,69.5,Greed
1993-05-20 00:00:00-04:00,68.14,Greed
1993-05-21 00:00:00-04:00,63.67,Greed
1993-05-24 00:00:00-04:00,79.51,Extreme Greed
1993-05-25 00:00:00-04:00,70.69,Greed
1993-05-26 00:00:00-04:00,71.51,Greed
1993-05-27 00:00:00-04:00,81.06,Extreme Greed
1993-05-28 00:00:00-04:00,73.05,Greed
1993-06-01 00:00:00-04:00,83.04,Extreme Greed
1993-06-02 00:00:00-04:00,80.18,Extreme Greed
1993-06-03 00:00:00-04:00,72.56,Greed
1993-06-04 00:00:00-04:00,81.04,Extreme Greed
1993-06-07 00:00:00-04:00,78.78,Extreme Greed
1993-06-08 00:00:00-04:00,81.32,Extreme Greed
