Date,Fear_Greed_Index,Sentiment
2007-03-30 00:00:00+02:00,61.18,Greed
2007-04-02 00:00:00+02:00,54.72,Neutral
2007-04-03 00:00:00+02:00,52.13,Neutral
2007-04-04 00:00:00+02:00,51.62,Neutral
2007-04-05 00:00:00+02:00,47.29,Neutral
2007-04-10 00:00:00+02:00,60.77,Greed
2007-04-11 00:00:00+02:00,45.01,Neutral
2007-04-12 00:00:00+02:00,59.16,Greed
2007-04-13 00:00:00+02:00,43.92,Fear
2007-04-16 00:00:00+02:00,56.47,Greed
2007-04-17 00:00:00+02:00,45.96,Neutral
2007-04-18 00:00:00+02:00,56.26,Greed
2007-04-19 00:00:00+02:00,46.0,Neutral
2007-04-20 00:00:00+02:00,86.62,Extreme Greed
2007-04-23 00:00:00+02:00,91.06,Extreme Greed
2007-04-24 00:00:00+02:00,95.6,Extreme Greed
2007-04-25 00:00:00+02:00,90.99,Extreme Greed
2007-04-26 00:00:00+02:00,84.92,Extreme Greed
2007-04-27 00:00:00+02:00,75.54,Extreme Greed
2007-04-30 00:00:00+02:00,81.3,Extreme Greed
2007-05-02 00:00:00+02:00,88.51,Extreme Greed
2007-05-03 00:00:00+02:00,83.52,Extreme Greed
2007-05-04 00:00:00+02:00,92.31,Extreme Greed
2007-05-07 00:00:00+02:00,85.52,Extreme Greed
2007-05-08 00:00:00+02:00,82.14,Extreme Greed
2007-05-10 00:00:00+02:00,88.12,Extreme Greed
2007-05-11 00:00:00+02:00,88.58,Extreme Greed
2007-05-14 00:00:00+02:00,86.95,Extreme Greed
2007-05-15 00:00:00+02:00,78.79,Extreme Greed
2007-05-16 00:00:00+02:00,88.53,Extreme Greed
2007-05-18 00:00:00+02:00,78.56,Extreme Greed
2007-05-21 00:00:00+02:00,90.9,Extreme Greed
2007-05-22 00:00:00+02:00,85.67,Extreme Greed
2007-05-23 00:00:00+02:00,85.47,Extreme Greed
2007-05-24 00:00:00+02:00,80.12,Extreme Greed
2007-05-25 00:00:00+02:00,94.37,Extreme Greed
2007-05-29 00:00:00+02:00,81.3,Extreme Greed
2007-05-30 00:00:00+02:00,94.49,Extreme Greed
2007-05-31 00:00:00+02:00,84.03,Extreme Greed
2007-06-01 00:00:00+02:00,80.17,Extreme Greed
2007-06-04 00:00:00+02:00,84.95,Extreme Greed
2007-06-05 00:00:00+02:00,92.85,Extreme Greed
2007-06-06 00:00:00+02:00,92.88,Extreme Greed
2007-06-07 00:00:00+02:00,84.11,Extreme Greed
2007-06-08 00:00:00+02:00,82.64,Extreme Greed
2007-06-11 00:00:00+02:00,79.9,Extreme Greed
2007-06-12 00:00:00+02:00,81.99,Extreme Greed
2007-06-13 00:00:00+02:00,90.26,Extreme Greed
2007-06-14 00:00:00+02:00,78.86,Extreme Greed
2007-06-15 00:00:00+02:00,76.77,Extreme Greed
2007-06-18 00:00:00+02:00,78.0,Extreme Greed
2007-06-19 00:00:00+02:00,81.36,Extreme Greed
2007-06-20 00:00:00+02:00,80.37,Extreme Greed
2007-06-21 00:00:00+02:00,83.29,Extreme Greed
2007-06-22 00:00:00+02:00,86.6,Extreme Greed
2007-06-25 00:00:00+02:00,77.98,Extreme Greed
2007-06-26 00:00:00+02:00,76.69,Extreme Greed
2007-06-27 00:00:00+02:00,78.33,Extreme Greed
2007-06-28 00:00:00+02:00,74.29,Greed
2007-06-29 00:00:00+02:00,74.02,Greed
2007-07-02 00:00:00+02:00,76.11,Extreme Greed
2007-07-03 00:00:00+02:00,77.3,Extreme Greed
2007-07-04 00:00:00+02:00,76.88,Extreme Greed
2007-07-05 00:00:00+02:00,84.36,Extreme Greed
2007-07-06 00:00:00+02:00,74.11,Greed
2007-07-09 00:00:00+02:00,78.39,Extreme Greed
2007-07-10 00:00:00+02:00,82.28,Extreme Greed
2007-07-11 00:00:00+02:00,82.06,Extreme Greed
2007-07-12 00:00:00+02:00,82.83,Extreme Greed
2007-07-13 00:00:00+02:00,74.96,Greed
2007-07-16 00:00:00+02:00,86.39,Extreme Greed
2007-07-17 00:00:00+02:00,83.76,Extreme Greed
2007-07-18 00:00:00+02:00,74.16,Greed
2007-07-19 00:00:00+02:00,81.07,Extreme Greed
2007-07-20 00:00:00+02:00,79.6,Extreme Greed
2007-07-23 00:00:00+02:00,84.45,Extreme Greed
2007-07-24 00:00:00+02:00,85.23,Extreme Greed
2007-07-25 00:00:00+02:00,78.78,Extreme Greed
2007-07-26 00:00:00+02:00,69.03,Greed
2007-07-27 00:00:00+02:00,66.49,Greed
2007-07-30 00:00:00+02:00,53.12,Neutral
2007-07-31 00:00:00+02:00,57.34,Greed
2007-08-02 00:00:00+02:00,54.84,Neutral
2007-08-03 00:00:00+02:00,61.7,Greed
2007-08-06 00:00:00+02:00,55.11,Greed
2007-08-07 00:00:00+02:00,49.21,Neutral
2007-08-08 00:00:00+02:00,55.13,Greed
2007-08-09 00:00:00+02:00,42.21,Fear
2007-08-10 00:00:00+02:00,51.76,Neutral
2007-08-13 00:00:00+02:00,48.24,Neutral
2007-08-14 00:00:00+02:00,42.43,Fear
2007-08-15 00:00:00+02:00,45.55,Neutral
2007-08-16 00:00:00+02:00,37.02,Fear
2007-08-17 00:00:00+02:00,40.39,Fear
2007-08-20 00:00:00+02:00,50.68,Neutral
2007-08-21 00:00:00+02:00,35.59,Fear
2007-08-22 00:00:00+02:00,39.13,Fear
2007-08-23 00:00:00+02:00,46.62,Neutral
2007-08-24 00:00:00+02:00,53.53,Neutral
2007-08-27 00:00:00+02:00,47.3,Neutral
2007-08-28 00:00:00+02:00,49.54,Neutral
2007-08-29 00:00:00+02:00,46.6,Neutral
2007-08-30 00:00:00+02:00,47.23,Neutral
2007-08-31 00:00:00+02:00,48.32,Neutral
2007-09-03 00:00:00+02:00,58.39,Greed
2007-09-04 00:00:00+02:00,59.85,Greed
2007-09-05 00:00:00+02:00,62.03,Greed
2007-09-06 00:00:00+02:00,67.26,Greed
2007-09-07 00:00:00+02:00,58.65,Greed
2007-09-10 00:00:00+02:00,49.95,Neutral
2007-09-11 00:00:00+02:00,55.22,Greed
2007-09-12 00:00:00+02:00,50.18,Neutral
2007-09-13 00:00:00+02:00,53.82,Neutral
2007-09-14 00:00:00+02:00,57.84,Greed
2007-09-17 00:00:00+02:00,56.36,Greed
2007-09-18 00:00:00+02:00,52.89,Neutral
2007-09-19 00:00:00+02:00,55.52,Greed
2007-09-20 00:00:00+02:00,74.35,Greed
2007-09-21 00:00:00+02:00,74.97,Greed
2007-09-24 00:00:00+02:00,64.41,Greed
2007-09-25 00:00:00+02:00,66.28,Greed
2007-09-26 00:00:00+02:00,71.06,Greed
2007-09-27 00:00:00+02:00,67.49,Greed
2007-09-28 00:00:00+02:00,79.0,Extreme Greed
2007-10-01 00:00:00+02:00,86.04,Extreme Greed
2007-10-02 00:00:00+02:00,68.22,Greed
2007-10-03 00:00:00+02:00,73.55,Greed
2007-10-04 00:00:00+02:00,83.23,Extreme Greed
2007-10-05 00:00:00+02:00,77.76,Extreme Greed
2007-10-08 00:00:00+02:00,81.87,Extreme Greed
2007-10-09 00:00:00+02:00,84.88,Extreme Greed
2007-10-10 00:00:00+02:00,83.98,Extreme Greed
2007-10-11 00:00:00+02:00,90.5,Extreme Greed
2007-10-12 00:00:00+02:00,87.72,Extreme Greed
2007-10-15 00:00:00+02:00,84.39,Extreme Greed
2007-10-16 00:00:00+02:00,83.15,Extreme Greed
2007-10-17 00:00:00+02:00,96.23,Extreme Greed
2007-10-18 00:00:00+02:00,82.51,Extreme Greed
2007-10-19 00:00:00+02:00,81.78,Extreme Greed
2007-10-22 00:00:00+02:00,84.06,Extreme Greed
2007-10-23 00:00:00+02:00,84.03,Extreme Greed
2007-10-24 00:00:00+02:00,91.14,Extreme Greed
2007-10-25 00:00:00+02:00,76.34,Extreme Greed
2007-10-26 00:00:00+02:00,79.07,Extreme Greed
2007-10-29 00:00:00+01:00,79.81,Extreme Greed
2007-10-30 00:00:00+01:00,88.89,Extreme Greed
2007-10-31 00:00:00+01:00,88.84,Extreme Greed
2007-11-01 00:00:00+01:00,88.6,Extreme Greed
2007-11-02 00:00:00+01:00,79.54,Extreme Greed
2007-11-05 00:00:00+01:00,78.26,Extreme Greed
2007-11-06 00:00:00+01:00,86.14,Extreme Greed
2007-11-07 00:00:00+01:00,75.66,Extreme Greed
2007-11-08 00:00:00+01:00,83.33,Extreme Greed
2007-11-09 00:00:00+01:00,86.61,Extreme Greed
2007-11-12 00:00:00+01:00,77.79,Extreme Greed
2007-11-13 00:00:00+01:00,70.78,Greed
2007-11-14 00:00:00+01:00,69.99,Greed
2007-11-15 00:00:00+01:00,73.27,Greed
2007-11-16 00:00:00+01:00,70.6,Greed
2007-11-19 00:00:00+01:00,66.8,Greed
2007-11-20 00:00:00+01:00,64.95,Greed
2007-11-21 00:00:00+01:00,76.26,Extreme Greed
2007-11-22 00:00:00+01:00,58.12,Greed
2007-11-23 00:00:00+01:00,58.65,Greed
2007-11-26 00:00:00+01:00,57.82,Greed
2007-11-27 00:00:00+01:00,61.14,Greed
2007-11-28 00:00:00+01:00,61.4,Greed
2007-11-29 00:00:00+01:00,59.87,Greed
2007-11-30 00:00:00+01:00,63.87,Greed
2007-12-03 00:00:00+01:00,65.73,Greed
2007-12-04 00:00:00+01:00,64.69,Greed
2007-12-05 00:00:00+01:00,75.53,Extreme Greed
2007-12-06 00:00:00+01:00,76.89,Extreme Greed
2007-12-07 00:00:00+01:00,83.41,Extreme Greed
2007-12-10 00:00:00+01:00,65.13,Greed
2007-12-11 00:00:00+01:00,74.35,Greed
2007-12-12 00:00:00+01:00,69.58,Greed
2007-12-13 00:00:00+01:00,74.65,Greed
2007-12-14 00:00:00+01:00,81.81,Extreme Greed
2007-12-17 00:00:00+01:00,67.04,Greed
2007-12-18 00:00:00+01:00,83.59,Extreme Greed
2007-12-19 00:00:00+01:00,74.26,Greed
2007-12-20 00:00:00+01:00,71.12,Greed
2007-12-21 00:00:00+01:00,68.45,Greed
2007-12-24 00:00:00+01:00,81.01,Extreme Greed
2007-12-27 00:00:00+01:00,77.32,Extreme Greed
2007-12-28 00:00:00+01:00,84.87,Extreme Greed
2007-12-31 00:00:00+01:00,75.5,Extreme Greed
2008-01-03 00:00:00+01:00,67.59,Greed
2008-01-04 00:00:00+01:00,79.19,Extreme Greed
2008-01-07 00:00:00+01:00,76.77,Extreme Greed
2008-01-08 00:00:00+01:00,61.83,Greed
2008-01-09 00:00:00+01:00,70.16,Greed
2008-01-10 00:00:00+01:00,74.56,Greed
2008-01-11 00:00:00+01:00,74.87,Greed
2008-01-14 00:00:00+01:00,71.18,Greed
2008-01-15 00:00:00+01:00,68.45,Greed
2008-01-16 00:00:00+01:00,62.6,Greed
2008-01-17 00:00:00+01:00,53.27,Neutral
2008-01-18 00:00:00+01:00,60.39,Greed
2008-01-21 00:00:00+01:00,48.55,Neutral
2008-01-22 00:00:00+01:00,45.73,Neutral
2008-01-23 00:00:00+01:00,40.88,Fear
2008-01-24 00:00:00+01:00,34.85,Fear
2008-01-25 00:00:00+01:00,36.45,Fear
2008-01-28 00:00:00+01:00,34.28,Fear
2008-01-29 00:00:00+01:00,35.24,Fear
2008-01-30 00:00:00+01:00,27.25,Fear
2008-01-31 00:00:00+01:00,35.42,Fear
2008-02-01 00:00:00+01:00,37.57,Fear
2008-02-04 00:00:00+01:00,33.26,Fear
2008-02-05 00:00:00+01:00,27.73,Fear
2008-02-06 00:00:00+01:00,31.06,Fear
2008-02-07 00:00:00+01:00,28.27,Fear
2008-02-08 00:00:00+01:00,33.65,Fear
2008-02-11 00:00:00+01:00,31.14,Fear
2008-02-12 00:00:00+01:00,36.92,Fear
2008-02-13 00:00:00+01:00,47.67,Neutral
2008-02-14 00:00:00+01:00,40.11,Fear
2008-02-15 00:00:00+01:00,43.46,Fear
2008-02-18 00:00:00+01:00,42.55,Fear
2008-02-19 00:00:00+01:00,34.76,Fear
2008-02-20 00:00:00+01:00,48.58,Neutral
2008-02-21 00:00:00+01:00,56.75,Greed
2008-02-22 00:00:00+01:00,42.13,Fear
2008-02-25 00:00:00+01:00,50.01,Neutral
2008-02-26 00:00:00+01:00,49.64,Neutral
2008-02-27 00:00:00+01:00,61.08,Greed
