Date,Fear_Greed_Index,Sentiment
2007-03-08 00:00:00-05:00,61.84,Greed
2007-03-09 00:00:00-05:00,42.63,Fear
2007-03-12 00:00:00-04:00,46.24,Neutral
2007-03-13 00:00:00-04:00,60.57,Greed
2007-03-14 00:00:00-04:00,48.31,Neutral
2007-03-15 00:00:00-04:00,55.56,Greed
2007-03-16 00:00:00-04:00,44.13,Fear
2007-03-19 00:00:00-04:00,44.81,Fear
2007-03-20 00:00:00-04:00,49.81,Neutral
2007-03-21 00:00:00-04:00,56.95,Greed
2007-03-22 00:00:00-04:00,59.1,Greed
2007-03-23 00:00:00-04:00,48.39,Neutral
2007-03-26 00:00:00-04:00,48.2,Neutral
2007-03-27 00:00:00-04:00,93.27,Extreme Greed
2007-03-28 00:00:00-04:00,100.0,Extreme Greed
2007-03-29 00:00:00-04:00,98.46,Extreme Greed
2007-03-30 00:00:00-04:00,100.0,Extreme Greed
2007-04-02 00:00:00-04:00,89.23,Extreme Greed
2007-04-03 00:00:00-04:00,96.44,Extreme Greed
2007-04-04 00:00:00-04:00,89.07,Extreme Greed
2007-04-05 00:00:00-04:00,86.46,Extreme Greed
2007-04-09 00:00:00-04:00,100.0,Extreme Greed
2007-04-10 00:00:00-04:00,100.0,Extreme Greed
2007-04-11 00:00:00-04:00,94.96,Extreme Greed
2007-04-12 00:00:00-04:00,100.0,Extreme Greed
2007-04-13 00:00:00-04:00,98.77,Extreme Greed
2007-04-16 00:00:00-04:00,94.12,Extreme Greed
2007-04-17 00:00:00-04:00,100.0,Extreme Greed
2007-04-18 00:00:00-04:00,100.0,Extreme Greed
2007-04-19 00:00:00-04:00,100.0,Extreme Greed
2007-04-20 00:00:00-04:00,100.0,Extreme Greed
2007-04-23 00:00:00-04:00,100.0,Extreme Greed
2007-04-24 00:00:00-04:00,97.99,Extreme Greed
2007-04-25 00:00:00-04:00,100.0,Extreme Greed
2007-04-26 00:00:00-04:00,100.0,Extreme Greed
2007-04-27 00:00:00-04:00,100.0,Extreme Greed
2007-04-30 00:00:00-04:00,98.37,Extreme Greed
2007-05-01 00:00:00-04:00,100.0,Extreme Greed
2007-05-02 00:00:00-04:00,98.61,Extreme Greed
2007-05-03 00:00:00-04:00,100.0,Extreme Greed
2007-05-04 00:00:00-04:00,92.64,Extreme Greed
2007-05-07 00:00:00-04:00,100.0,Extreme Greed
2007-05-08 00:00:00-04:00,96.82,Extreme Greed
2007-05-09 00:00:00-04:00,94.93,Extreme Greed
2007-05-10 00:00:00-04:00,100.0,Extreme Greed
2007-05-11 00:00:00-04:00,100.0,Extreme Greed
2007-05-14 00:00:00-04:00,98.51,Extreme Greed
2007-05-15 00:00:00-04:00,93.88,Extreme Greed
2007-05-16 00:00:00-04:00,100.0,Extreme Greed
2007-05-17 00:00:00-04:00,94.84,Extreme Greed
2007-05-18 00:00:00-04:00,89.18,Extreme Greed
2007-05-21 00:00:00-04:00,93.28,Extreme Greed
2007-05-22 00:00:00-04:00,100.0,Extreme Greed
2007-05-23 00:00:00-04:00,99.25,Extreme Greed
2007-05-24 00:00:00-04:00,92.89,Extreme Greed
2007-05-25 00:00:00-04:00,81.12,Extreme Greed
2007-05-29 00:00:00-04:00,87.49,Extreme Greed
2007-05-30 00:00:00-04:00,89.45,Extreme Greed
2007-05-31 00:00:00-04:00,97.29,Extreme Greed
2007-06-01 00:00:00-04:00,92.66,Extreme Greed
2007-06-04 00:00:00-04:00,97.68,Extreme Greed
2007-06-05 00:00:00-04:00,88.74,Extreme Greed
2007-06-06 00:00:00-04:00,83.21,Extreme Greed
2007-06-07 00:00:00-04:00,93.89,Extreme Greed
2007-06-08 00:00:00-04:00,94.52,Extreme Greed
2007-06-11 00:00:00-04:00,91.63,Extreme Greed
2007-06-12 00:00:00-04:00,90.74,Extreme Greed
2007-06-13 00:00:00-04:00,89.74,Extreme Greed
2007-06-14 00:00:00-04:00,88.39,Extreme Greed
2007-06-15 00:00:00-04:00,87.39,Extreme Greed
2007-06-18 00:00:00-04:00,87.42,Extreme Greed
2007-06-19 00:00:00-04:00,87.41,Extreme Greed
2007-06-20 00:00:00-04:00,92.82,Extreme Greed
2007-06-21 00:00:00-04:00,94.12,Extreme Greed
2007-06-22 00:00:00-04:00,92.35,Extreme Greed
2007-06-25 00:00:00-04:00,90.79,Extreme Greed
2007-06-26 00:00:00-04:00,83.29,Extreme Greed
2007-06-27 00:00:00-04:00,84.44,Extreme Greed
2007-06-28 00:00:00-04:00,83.95,Extreme Greed
2007-06-29 00:00:00-04:00,83.35,Extreme Greed
2007-07-02 00:00:00-04:00,86.69,Extreme Greed
2007-07-03 00:00:00-04:00,95.49,Extreme Greed
2007-07-05 00:00:00-04:00,93.75,Extreme Greed
2007-07-06 00:00:00-04:00,95.28,Extreme Greed
2007-07-09 00:00:00-04:00,92.82,Extreme Greed
2007-07-10 00:00:00-04:00,87.43,Extreme Greed
2007-07-11 00:00:00-04:00,97.26,Extreme Greed
2007-07-12 00:00:00-04:00,94.45,Extreme Greed
2007-07-13 00:00:00-04:00,100.0,Extreme Greed
2007-07-16 00:00:00-04:00,94.98,Extreme Greed
2007-07-17 00:00:00-04:00,97.47,Extreme Greed
2007-07-18 00:00:00-04:00,93.22,Extreme Greed
2007-07-19 00:00:00-04:00,96.71,Extreme Greed
2007-07-20 00:00:00-04:00,97.82,Extreme Greed
2007-07-23 00:00:00-04:00,89.72,Extreme Greed
2007-07-24 00:00:00-04:00,89.33,Extreme Greed
2007-07-25 00:00:00-04:00,85.4,Extreme Greed
2007-07-26 00:00:00-04:00,77.0,Extreme Greed
