Date,Fear_Greed_Index,Sentiment
2001-06-15 00:00:00-04:00,40.51,Fear
2001-06-18 00:00:00-04:00,51.27,Neutral
2001-06-19 00:00:00-04:00,55.1,Greed
2001-06-20 00:00:00-04:00,46.55,Neutral
2001-06-21 00:00:00-04:00,52.8,Neutral
2001-06-22 00:00:00-04:00,47.67,Neutral
2001-06-25 00:00:00-04:00,44.4,Fear
2001-06-26 00:00:00-04:00,44.35,Fear
2001-06-27 00:00:00-04:00,50.41,Neutral
2001-06-28 00:00:00-04:00,51.98,Neutral
2001-06-29 00:00:00-04:00,55.07,Greed
2001-07-02 00:00:00-04:00,39.02,Fear
2001-07-03 00:00:00-04:00,58.45,Greed
2001-07-05 00:00:00-04:00,82.44,Extreme Greed
2001-07-06 00:00:00-04:00,79.44,Extreme Greed
2001-07-09 00:00:00-04:00,76.79,Extreme Greed
2001-07-10 00:00:00-04:00,85.11,Extreme Greed
2001-07-11 00:00:00-04:00,80.24,Extreme Greed
2001-07-12 00:00:00-04:00,70.76,Greed
2001-07-13 00:00:00-04:00,74.77,Greed
2001-07-16 00:00:00-04:00,70.64,Greed
2001-07-17 00:00:00-04:00,74.4,Greed
2001-07-18 00:00:00-04:00,77.41,Extreme Greed
2001-07-19 00:00:00-04:00,74.87,Greed
2001-07-20 00:00:00-04:00,70.23,Greed
2001-07-23 00:00:00-04:00,76.38,Extreme Greed
2001-07-24 00:00:00-04:00,68.17,Greed
2001-07-25 00:00:00-04:00,77.19,Extreme Greed
2001-07-26 00:00:00-04:00,69.21,Greed
2001-07-27 00:00:00-04:00,69.85,Greed
2001-07-30 00:00:00-04:00,80.25,Extreme Greed
2001-07-31 00:00:00-04:00,77.04,Extreme Greed
2001-08-01 00:00:00-04:00,73.84,Greed
2001-08-02 00:00:00-04:00,82.21,Extreme Greed
2001-08-03 00:00:00-04:00,77.68,Extreme Greed
2001-08-06 00:00:00-04:00,77.45,Extreme Greed
2001-08-07 00:00:00-04:00,79.03,Extreme Greed
2001-08-08 00:00:00-04:00,73.19,Greed
2001-08-09 00:00:00-04:00,78.65,Extreme Greed
2001-08-10 00:00:00-04:00,75.91,Extreme Greed
2001-08-13 00:00:00-04:00,81.57,Extreme Greed
2001-08-14 00:00:00-04:00,74.07,Greed
2001-08-15 00:00:00-04:00,82.44,Extreme Greed
2001-08-16 00:00:00-04:00,78.47,Extreme Greed
2001-08-17 00:00:00-04:00,65.34,Greed
2001-08-20 00:00:00-04:00,75.29,Extreme Greed
2001-08-21 00:00:00-04:00,74.97,Greed
2001-08-22 00:00:00-04:00,82.23,Extreme Greed
2001-08-23 00:00:00-04:00,82.32,Extreme Greed
2001-08-24 00:00:00-04:00,66.35,Greed
2001-08-27 00:00:00-04:00,74.31,Greed
2001-08-28 00:00:00-04:00,64.69,Greed
2001-08-29 00:00:00-04:00,67.18,Greed
2001-08-30 00:00:00-04:00,66.3,Greed
