Date,Fear_Greed_Index,Sentiment
1998-12-22 00:00:00-05:00,54.96,Neutral
1998-12-23 00:00:00-05:00,49.97,Neutral
1998-12-24 00:00:00-05:00,46.76,Neutral
1998-12-28 00:00:00-05:00,44.02,Fear
1998-12-29 00:00:00-05:00,45.12,Neutral
1998-12-30 00:00:00-05:00,45.53,Neutral
1998-12-31 00:00:00-05:00,50.18,Neutral
1999-01-04 00:00:00-05:00,46.35,Neutral
1999-01-05 00:00:00-05:00,45.48,Neutral
1999-01-06 00:00:00-05:00,50.42,Neutral
1999-01-07 00:00:00-05:00,40.85,Fear
1999-01-08 00:00:00-05:00,50.6,Neutral
1999-01-11 00:00:00-05:00,51.24,Neutral
1999-01-12 00:00:00-05:00,71.49,Greed
1999-01-13 00:00:00-05:00,63.75,Greed
1999-01-14 00:00:00-05:00,67.24,Greed
1999-01-15 00:00:00-05:00,62.75,Greed
1999-01-19 00:00:00-05:00,56.09,Greed
1999-01-20 00:00:00-05:00,52.56,Neutral
1999-01-21 00:00:00-05:00,57.54,Greed
1999-01-22 00:00:00-05:00,40.05,Fear
1999-01-25 00:00:00-05:00,43.79,Fear
1999-01-26 00:00:00-05:00,39.47,Fear
1999-01-27 00:00:00-05:00,47.81,Neutral
1999-01-28 00:00:00-05:00,41.68,Fear
1999-01-29 00:00:00-05:00,45.38,Neutral
1999-02-01 00:00:00-05:00,53.89,Neutral
1999-02-02 00:00:00-05:00,43.91,Fear
1999-02-03 00:00:00-05:00,50.97,Neutral
1999-02-04 00:00:00-05:00,46.65,Neutral
1999-02-05 00:00:00-05:00,42.26,Fear
1999-02-08 00:00:00-05:00,37.15,Fear
1999-02-09 00:00:00-05:00,39.01,Fear
1999-02-10 00:00:00-05:00,30.01,Fear
1999-02-11 00:00:00-05:00,44.93,Fear
1999-02-12 00:00:00-05:00,41.09,Fear
1999-02-16 00:00:00-05:00,43.61,Fear
1999-02-17 00:00:00-05:00,51.37,Neutral
1999-02-18 00:00:00-05:00,51.11,Neutral
1999-02-19 00:00:00-05:00,56.76,Greed
1999-02-22 00:00:00-05:00,62.69,Greed
1999-02-23 00:00:00-05:00,74.45,Greed
1999-02-24 00:00:00-05:00,72.37,Greed
1999-02-25 00:00:00-05:00,76.94,Extreme Greed
1999-02-26 00:00:00-05:00,80.77,Extreme Greed
1999-03-01 00:00:00-05:00,71.13,Greed
1999-03-02 00:00:00-05:00,70.33,Greed
1999-03-03 00:00:00-05:00,66.07,Greed
1999-03-04 00:00:00-05:00,79.09,Extreme Greed
1999-03-05 00:00:00-05:00,79.46,Extreme Greed
1999-03-08 00:00:00-05:00,83.65,Extreme Greed
1999-03-09 00:00:00-05:00,86.1,Extreme Greed
1999-03-10 00:00:00-05:00,92.25,Extreme Greed
1999-03-11 00:00:00-05:00,83.58,Extreme Greed
1999-03-12 00:00:00-05:00,84.0,Extreme Greed
1999-03-15 00:00:00-05:00,84.12,Extreme Greed
1999-03-16 00:00:00-05:00,95.85,Extreme Greed
1999-03-17 00:00:00-05:00,79.04,Extreme Greed
1999-03-18 00:00:00-05:00,89.69,Extreme Greed
1999-03-19 00:00:00-05:00,88.8,Extreme Greed
1999-03-22 00:00:00-05:00,87.88,Extreme Greed
1999-03-23 00:00:00-05:00,93.34,Extreme Greed
1999-03-24 00:00:00-05:00,90.29,Extreme Greed
1999-03-25 00:00:00-05:00,84.91,Extreme Greed
1999-03-26 00:00:00-05:00,82.46,Extreme Greed
1999-03-29 00:00:00-05:00,79.78,Extreme Greed
1999-03-30 00:00:00-05:00,78.39,Extreme Greed
1999-03-31 00:00:00-05:00,72.09,Greed
1999-04-01 00:00:00-05:00,86.65,Extreme Greed
1999-04-05 00:00:00-04:00,79.43,Extreme Greed
1999-04-06 00:00:00-04:00,85.04,Extreme Greed
1999-04-07 00:00:00-04:00,84.38,Extreme Greed
1999-04-08 00:00:00-04:00,77.74,Extreme Greed
1999-04-09 00:00:00-04:00,83.51,Extreme Greed
