Date,Fear_Greed_Index,Sentiment
2015-10-08 00:00:00-04:00,54.19,Neutral
2015-10-09 00:00:00-04:00,46.57,Neutral
2015-10-12 00:00:00-04:00,48.01,Neutral
2015-10-13 00:00:00-04:00,48.59,Neutral
2015-10-14 00:00:00-04:00,48.25,Neutral
2015-10-15 00:00:00-04:00,47.01,Neutral
2015-10-16 00:00:00-04:00,44.39,Fear
2015-10-19 00:00:00-04:00,49.83,Neutral
2015-10-20 00:00:00-04:00,52.65,Neutral
2015-10-21 00:00:00-04:00,41.13,Fear
2015-10-22 00:00:00-04:00,54.64,Neutral
2015-10-23 00:00:00-04:00,50.49,Neutral
2015-10-26 00:00:00-04:00,50.37,Neutral
2015-10-27 00:00:00-04:00,85.18,Extreme Greed
2015-10-28 00:00:00-04:00,84.94,Extreme Greed
2015-10-29 00:00:00-04:00,88.23,Extreme Greed
2015-10-30 00:00:00-04:00,80.11,Extreme Greed
2015-11-02 00:00:00-05:00,76.86,Extreme Greed
2015-11-03 00:00:00-05:00,78.25,Extreme Greed
2015-11-04 00:00:00-05:00,88.5,Extreme Greed
2015-11-05 00:00:00-05:00,80.59,Extreme Greed
2015-11-06 00:00:00-05:00,77.69,Extreme Greed
2015-11-09 00:00:00-05:00,71.5,Greed
2015-11-10 00:00:00-05:00,57.18,Greed
2015-11-11 00:00:00-05:00,73.74,Greed
2015-11-12 00:00:00-05:00,69.78,Greed
2015-11-13 00:00:00-05:00,50.54,Neutral
2015-11-16 00:00:00-05:00,54.46,Neutral
2015-11-17 00:00:00-05:00,47.67,Neutral
2015-11-18 00:00:00-05:00,59.89,Greed
2015-11-19 00:00:00-05:00,60.37,Greed
2015-11-20 00:00:00-05:00,67.66,Greed
2015-11-23 00:00:00-05:00,64.85,Greed
2015-11-24 00:00:00-05:00,68.51,Greed
2015-11-25 00:00:00-05:00,71.42,Greed
2015-11-27 00:00:00-05:00,64.1,Greed
2015-11-30 00:00:00-05:00,72.56,Greed
2015-12-01 00:00:00-05:00,70.08,Greed
2015-12-02 00:00:00-05:00,68.51,Greed
2015-12-03 00:00:00-05:00,69.63,Greed
2015-12-04 00:00:00-05:00,67.67,Greed
2015-12-07 00:00:00-05:00,69.83,Greed
2015-12-08 00:00:00-05:00,67.29,Greed
2015-12-09 00:00:00-05:00,70.59,Greed
2015-12-10 00:00:00-05:00,71.03,Greed
2015-12-11 00:00:00-05:00,66.15,Greed
2015-12-14 00:00:00-05:00,79.22,Extreme Greed
2015-12-15 00:00:00-05:00,68.51,Greed
2015-12-16 00:00:00-05:00,68.94,Greed
2015-12-17 00:00:00-05:00,69.52,Greed
2015-12-18 00:00:00-05:00,63.48,Greed
2015-12-21 00:00:00-05:00,67.41,Greed
2015-12-22 00:00:00-05:00,69.94,Greed
2015-12-23 00:00:00-05:00,77.66,Extreme Greed
2015-12-24 00:00:00-05:00,75.65,Extreme Greed
2015-12-28 00:00:00-05:00,71.77,Greed
2015-12-29 00:00:00-05:00,72.92,Greed
2015-12-30 00:00:00-05:00,71.46,Greed
2015-12-31 00:00:00-05:00,63.19,Greed
2016-01-04 00:00:00-05:00,73.45,Greed
2016-01-05 00:00:00-05:00,69.66,Greed
2016-01-06 00:00:00-05:00,65.16,Greed
2016-01-07 00:00:00-05:00,66.49,Greed
2016-01-08 00:00:00-05:00,59.03,Greed
2016-01-11 00:00:00-05:00,64.84,Greed
2016-01-12 00:00:00-05:00,64.93,Greed
2016-01-13 00:00:00-05:00,58.9,Greed
2016-01-14 00:00:00-05:00,53.58,Neutral
2016-01-15 00:00:00-05:00,53.96,Neutral
2016-01-19 00:00:00-05:00,56.2,Greed
2016-01-20 00:00:00-05:00,53.24,Neutral
2016-01-21 00:00:00-05:00,52.45,Neutral
2016-01-22 00:00:00-05:00,45.83,Neutral
2016-01-25 00:00:00-05:00,48.08,Neutral
2016-01-26 00:00:00-05:00,44.52,Fear
2016-01-27 00:00:00-05:00,45.23,Neutral
2016-01-28 00:00:00-05:00,54.75,Neutral
2016-01-29 00:00:00-05:00,51.28,Neutral
2016-02-01 00:00:00-05:00,64.23,Greed
2016-02-02 00:00:00-05:00,53.63,Neutral
2016-02-03 00:00:00-05:00,45.18,Neutral
2016-02-04 00:00:00-05:00,47.13,Neutral
2016-02-05 00:00:00-05:00,43.7,Fear
2016-02-08 00:00:00-05:00,47.99,Neutral
2016-02-09 00:00:00-05:00,42.04,Fear
2016-02-10 00:00:00-05:00,49.56,Neutral
2016-02-11 00:00:00-05:00,26.46,Fear
2016-02-12 00:00:00-05:00,30.49,Fear
2016-02-16 00:00:00-05:00,28.04,Fear
2016-02-17 00:00:00-05:00,27.69,Fear
2016-02-18 00:00:00-05:00,28.72,Fear
2016-02-19 00:00:00-05:00,31.4,Fear
2016-02-22 00:00:00-05:00,32.54,Fear
2016-02-23 00:00:00-05:00,48.63,Neutral
2016-02-24 00:00:00-05:00,46.52,Neutral
2016-02-25 00:00:00-05:00,40.24,Fear
2016-02-26 00:00:00-05:00,39.91,Fear
2016-02-29 00:00:00-05:00,52.27,Neutral
2016-03-01 00:00:00-05:00,51.16,Neutral
2016-03-02 00:00:00-05:00,68.04,Greed
2016-03-03 00:00:00-05:00,72.01,Greed
2016-03-04 00:00:00-05:00,69.62,Greed
2016-03-07 00:00:00-05:00,83.02,Extreme Greed
2016-03-08 00:00:00-05:00,71.93,Greed
2016-03-09 00:00:00-05:00,76.05,Extreme Greed
2016-03-10 00:00:00-05:00,77.44,Extreme Greed
2016-03-11 00:00:00-05:00,80.99,Extreme Greed
2016-03-14 00:00:00-04:00,75.97,Extreme Greed
2016-03-15 00:00:00-04:00,89.09,Extreme Greed
2016-03-16 00:00:00-04:00,79.94,Extreme Greed
2016-03-17 00:00:00-04:00,90.29,Extreme Greed
2016-03-18 00:00:00-04:00,79.07,Extreme Greed
2016-03-21 00:00:00-04:00,76.84,Extreme Greed
2016-03-22 00:00:00-04:00,77.44,Extreme Greed
2016-03-23 00:00:00-04:00,87.39,Extreme Greed
2016-03-24 00:00:00-04:00,83.46,Extreme Greed
2016-03-28 00:00:00-04:00,76.69,Extreme Greed
2016-03-29 00:00:00-04:00,83.99,Extreme Greed
2016-03-30 00:00:00-04:00,79.22,Extreme Greed
2016-03-31 00:00:00-04:00,73.52,Greed
2016-04-01 00:00:00-04:00,78.03,Extreme Greed
2016-04-04 00:00:00-04:00,75.72,Extreme Greed
2016-04-05 00:00:00-04:00,73.01,Greed
2016-04-06 00:00:00-04:00,75.46,Extreme Greed
2016-04-07 00:00:00-04:00,77.84,Extreme Greed
2016-04-08 00:00:00-04:00,81.94,Extreme Greed
2016-04-11 00:00:00-04:00,87.32,Extreme Greed
2016-04-12 00:00:00-04:00,74.06,Greed
2016-04-13 00:00:00-04:00,79.1,Extreme Greed
2016-04-14 00:00:00-04:00,67.9,Greed
2016-04-15 00:00:00-04:00,72.77,Greed
2016-04-18 00:00:00-04:00,80.56,Extreme Greed
2016-04-19 00:00:00-04:00,86.23,Extreme Greed
2016-04-20 00:00:00-04:00,89.91,Extreme Greed
2016-04-21 00:00:00-04:00,79.64,Extreme Greed
2016-04-22 00:00:00-04:00,78.31,Extreme Greed
2016-04-25 00:00:00-04:00,76.17,Extreme Greed
2016-04-26 00:00:00-04:00,79.2,Extreme Greed
2016-04-27 00:00:00-04:00,74.52,Greed
2016-04-28 00:00:00-04:00,79.94,Extreme Greed
2016-04-29 00:00:00-04:00,66.87,Greed
2016-05-02 00:00:00-04:00,70.3,Greed
2016-05-03 00:00:00-04:00,70.35,Greed
2016-05-04 00:00:00-04:00,68.54,Greed
2016-05-05 00:00:00-04:00,67.21,Greed
2016-05-06 00:00:00-04:00,70.5,Greed
2016-05-09 00:00:00-04:00,80.07,Extreme Greed
2016-05-10 00:00:00-04:00,77.82,Extreme Greed
2016-05-11 00:00:00-04:00,77.2,Extreme Greed
2016-05-12 00:00:00-04:00,74.59,Greed
2016-05-13 00:00:00-04:00,82.2,Extreme Greed
2016-05-16 00:00:00-04:00,80.99,Extreme Greed
2016-05-17 00:00:00-04:00,71.77,Greed
2016-05-18 00:00:00-04:00,73.21,Greed
2016-05-19 00:00:00-04:00,73.91,Greed
2016-05-20 00:00:00-04:00,60.04,Greed
2016-05-23 00:00:00-04:00,58.14,Greed
2016-05-24 00:00:00-04:00,64.52,Greed
2016-05-25 00:00:00-04:00,74.11,Greed
2016-05-26 00:00:00-04:00,66.4,Greed
2016-05-27 00:00:00-04:00,68.1,Greed
2016-05-31 00:00:00-04:00,76.36,Extreme Greed
2016-06-01 00:00:00-04:00,75.01,Extreme Greed
2016-06-02 00:00:00-04:00,85.13,Extreme Greed
2016-06-03 00:00:00-04:00,84.41,Extreme Greed
2016-06-06 00:00:00-04:00,80.95,Extreme Greed
2016-06-07 00:00:00-04:00,85.66,Extreme Greed
2016-06-08 00:00:00-04:00,91.53,Extreme Greed
2016-06-09 00:00:00-04:00,93.98,Extreme Greed
2016-06-10 00:00:00-04:00,88.54,Extreme Greed
2016-06-13 00:00:00-04:00,93.65,Extreme Greed
2016-06-14 00:00:00-04:00,92.49,Extreme Greed
2016-06-15 00:00:00-04:00,90.48,Extreme Greed
2016-06-16 00:00:00-04:00,90.71,Extreme Greed
2016-06-17 00:00:00-04:00,99.72,Extreme Greed
2016-06-20 00:00:00-04:00,95.71,Extreme Greed
2016-06-21 00:00:00-04:00,92.26,Extreme Greed
2016-06-22 00:00:00-04:00,100.0,Extreme Greed
2016-06-23 00:00:00-04:00,93.74,Extreme Greed
2016-06-24 00:00:00-04:00,96.71,Extreme Greed
2016-06-27 00:00:00-04:00,100.0,Extreme Greed
2016-06-28 00:00:00-04:00,100.0,Extreme Greed
2016-06-29 00:00:00-04:00,96.94,Extreme Greed
2016-06-30 00:00:00-04:00,98.69,Extreme Greed
2016-07-01 00:00:00-04:00,96.2,Extreme Greed
2016-07-05 00:00:00-04:00,94.56,Extreme Greed
2016-07-06 00:00:00-04:00,97.52,Extreme Greed
2016-07-07 00:00:00-04:00,100.0,Extreme Greed
2016-07-08 00:00:00-04:00,88.14,Extreme Greed
2016-07-11 00:00:00-04:00,97.06,Extreme Greed
2016-07-12 00:00:00-04:00,97.87,Extreme Greed
2016-07-13 00:00:00-04:00,89.36,Extreme Greed
2016-07-14 00:00:00-04:00,94.94,Extreme Greed
2016-07-15 00:00:00-04:00,94.22,Extreme Greed
2016-07-18 00:00:00-04:00,100.0,Extreme Greed
2016-07-19 00:00:00-04:00,100.0,Extreme Greed
2016-07-20 00:00:00-04:00,100.0,Extreme Greed
2016-07-21 00:00:00-04:00,100.0,Extreme Greed
2016-07-22 00:00:00-04:00,100.0,Extreme Greed
2016-07-25 00:00:00-04:00,100.0,Extreme Greed
2016-07-26 00:00:00-04:00,95.27,Extreme Greed
2016-07-27 00:00:00-04:00,94.23,Extreme Greed
2016-07-28 00:00:00-04:00,100.0,Extreme Greed
2016-07-29 00:00:00-04:00,100.0,Extreme Greed
2016-08-01 00:00:00-04:00,93.77,Extreme Greed
2016-08-02 00:00:00-04:00,100.0,Extreme Greed
2016-08-03 00:00:00-04:00,97.7,Extreme Greed
2016-08-04 00:00:00-04:00,100.0,Extreme Greed
2016-08-05 00:00:00-04:00,95.06,Extreme Greed
2016-08-08 00:00:00-04:00,91.18,Extreme Greed
2016-08-09 00:00:00-04:00,91.35,Extreme Greed
2016-08-10 00:00:00-04:00,93.15,Extreme Greed
2016-08-11 00:00:00-04:00,100.0,Extreme Greed
2016-08-12 00:00:00-04:00,88.4,Extreme Greed
2016-08-15 00:00:00-04:00,97.11,Extreme Greed
2016-08-16 00:00:00-04:00,79.88,Extreme Greed
2016-08-17 00:00:00-04:00,93.99,Extreme Greed
2016-08-18 00:00:00-04:00,89.89,Extreme Greed
2016-08-19 00:00:00-04:00,80.84,Extreme Greed
2016-08-22 00:00:00-04:00,79.86,Extreme Greed
2016-08-23 00:00:00-04:00,93.88,Extreme Greed
2016-08-24 00:00:00-04:00,87.17,Extreme Greed
2016-08-25 00:00:00-04:00,89.11,Extreme Greed
2016-08-26 00:00:00-04:00,77.02,Extreme Greed
2016-08-29 00:00:00-04:00,81.66,Extreme Greed
2016-08-30 00:00:00-04:00,81.61,Extreme Greed
2016-08-31 00:00:00-04:00,81.09,Extreme Greed
2016-09-01 00:00:00-04:00,86.31,Extreme Greed
2016-09-02 00:00:00-04:00,82.5,Extreme Greed
2016-09-06 00:00:00-04:00,99.07,Extreme Greed
2016-09-07 00:00:00-04:00,92.52,Extreme Greed
2016-09-08 00:00:00-04:00,89.15,Extreme Greed
