Date,Fear_Greed_Index,Sentiment
1998-12-22 00:00:00-05:00,52.75,Neutral
1998-12-23 00:00:00-05:00,44.08,Fear
1998-12-24 00:00:00-05:00,49.36,Neutral
1998-12-28 00:00:00-05:00,62.43,Greed
1998-12-29 00:00:00-05:00,47.45,Neutral
1998-12-30 00:00:00-05:00,45.33,Neutral
1998-12-31 00:00:00-05:00,40.55,Fear
1999-01-04 00:00:00-05:00,50.05,Neutral
1999-01-05 00:00:00-05:00,43.2,Fear
1999-01-06 00:00:00-05:00,50.88,Neutral
1999-01-07 00:00:00-05:00,43.12,Fear
1999-01-08 00:00:00-05:00,48.52,Neutral
1999-01-11 00:00:00-05:00,39.29,Fear
1999-01-12 00:00:00-05:00,54.01,Neutral
1999-01-13 00:00:00-05:00,51.52,Neutral
1999-01-14 00:00:00-05:00,36.74,Fear
1999-01-15 00:00:00-05:00,57.85,Greed
1999-01-19 00:00:00-05:00,51.96,Neutral
1999-01-20 00:00:00-05:00,58.18,Greed
1999-01-21 00:00:00-05:00,50.94,Neutral
1999-01-22 00:00:00-05:00,59.45,Greed
1999-01-25 00:00:00-05:00,60.69,Greed
1999-01-26 00:00:00-05:00,46.01,Neutral
1999-01-27 00:00:00-05:00,52.71,Neutral
1999-01-28 00:00:00-05:00,66.16,Greed
1999-01-29 00:00:00-05:00,64.71,Greed
1999-02-01 00:00:00-05:00,65.73,Greed
1999-02-02 00:00:00-05:00,69.13,Greed
1999-02-03 00:00:00-05:00,63.54,Greed
1999-02-04 00:00:00-05:00,67.56,Greed
1999-02-05 00:00:00-05:00,78.17,Extreme Greed
1999-02-08 00:00:00-05:00,68.95,Greed
1999-02-09 00:00:00-05:00,57.93,Greed
1999-02-10 00:00:00-05:00,67.18,Greed
1999-02-11 00:00:00-05:00,52.7,Neutral
1999-02-12 00:00:00-05:00,57.94,Greed
1999-02-16 00:00:00-05:00,60.7,Greed
1999-02-17 00:00:00-05:00,46.63,Neutral
1999-02-18 00:00:00-05:00,56.16,Greed
1999-02-19 00:00:00-05:00,61.61,Greed
