,Latest_Index,Latest_Sentiment,Data_Start_Date,Data_End_Date
S&P 500,68.96613849160552,Greed,1927-12-30,2025-03-26
Dow Jones,63.116780326160516,Greed,1992-01-02,2025-03-26
NASDAQ,52.382236222482256,Neutral,1971-02-05,2025-03-26
NYSE Composite,68.91570875281295,Greed,1965-12-31,2025-03-26
Russell 2000,45.83191585911716,Neutral,1987-09-10,2025-03-26
CBOE Volatility Index,37.20998602571711,Fear,1990-01-02,2025-03-26
FTSE 100,82.40060455339272,Extreme Greed,1984-01-03,2025-03-26
Nikkei 225,59.90560718703735,Greed,1965-01-05,2025-03-26
EURO STOXX 50,83.26750939446762,Extreme Greed,2007-03-30,2025-03-26
Hang Seng,63.638470966234856,Greed,1986-12-31,2025-03-26
SPDR S&P 500 ETF,59.983319358231824,Greed,1993-01-29,2025-03-26
Invesco QQQ Trust,58.73689700984275,Greed,1999-03-10,2025-03-26
SPDR Dow Jones ETF,68.45877735730944,Greed,1998-01-20,2025-03-26
iShares Russell 2000 ETF,47.83330169187263,Neutral,2000-05-26,2025-03-26
Vanguard Total Stock Market ETF,48.58625787097572,Neutral,2001-06-15,2025-03-26
iShares MSCI EAFE ETF,79.83682803218962,Extreme Greed,2001-08-27,2025-03-26
iShares MSCI Emerging Markets ETF,82.18946108437058,Extreme Greed,2003-04-14,2025-03-26
Vanguard FTSE All-World ex-US ETF,85.0313824754811,Extreme Greed,2007-03-08,2025-03-26
Financial Sector ETF,56.79043339098645,Greed,1998-12-22,2025-03-26
Technology Sector ETF,43.688625686878,Fear,1998-12-22,2025-03-26
Energy Sector ETF,83.84653046553159,Extreme Greed,1998-12-22,2025-03-26
Healthcare Sector ETF,69.86045954129722,Greed,1998-12-22,2025-03-26
Consumer Discretionary ETF,41.942922418378835,Fear,1998-12-22,2025-03-26
Consumer Staples ETF,59.84130425763295,Greed,1998-12-22,2025-03-26
Real Estate Sector ETF,61.62376551556746,Greed,2015-10-08,2025-03-26
